query_compound_id,query_split,nearest_compound_id,nearest_split,similarity,query_label,nearest_label,label_relation
CMP:BJUPUKIYTMVLCW-ONNFQVAWSA-N,train,CMP:QLKWZSDBTUTCIJ-PPRDQHCASA-N,train,0.33870967741935482,1,1,same
CMP:BOSMZFBHAYFUBJ-UHFFFAOYSA-N,train,CMP:RLBIQVVOMOPOHC-UHFFFAOYSA-N,train,0.30555555555555558,0,0,same
CMP:BOUGCJDAQLKBQH-UHFFFAOYSA-N,train,CMP:OHMHBGPWCHTMQE-UHFFFAOYSA-N,train,0.58333333333333337,0,1,opposite
CMP:BPLBGHOLXOTWMN-MBNYWOFBSA-N,train,CMP:LQKRYVGRPXFFAV-UHFFFAOYSA-N,train,0.25806451612903225,0,0,same
CMP:BQQUFAMSJAKLNB-UHFFFAOYSA-N,train,CMP:OECTYKWYRCHAKR-UHFFFAOYSA-N,train,0.18181818181818182,0,0,same
CMP:BRWIZMBXBAOCCF-UHFFFAOYSA-N,train,CMP:KCOYHFNCTWXETP-UHFFFAOYSA-N,train,0.53846153846153844,0,0,same
CMP:BSYNRYMUTXBXSQ-UHFFFAOYSA-N,train,CMP:SBNKFTQSBPKMBZ-UHFFFAOYSA-N,train,0.3888888888888889,0,1,opposite
CMP:BUMHFBGBXFTGJZ-UHFFFAOYSA-N,train,CMP:JWFMCQPAQYKFDP-UHFFFAOYSA-N,train,0.64000000000000001,1,1,same
CMP:BUXVIXBGMQXWGT-UHFFFAOYSA-N,train,CMP:AYLURHVFAYRSHT-UHFFFAOYSA-N,train,0.56756756756756754,1,1,same
CMP:BXFOFFBJRFZBQZ-QYWOHJEZSA-N,train,CMP:YJZOIBYRKVITQF-BYYJOMOJSA-N,train,0.27500000000000002,1,0,opposite
CMP:BXIVHTWXKYBJEM-UHFFFAOYSA-N,train,CMP:IDFLGSYEBJNWMK-UHFFFAOYSA-N,train,0.36842105263157893,1,1,same
CMP:BXIXXXYDDJVHDL-UHFFFAOYSA-N,train,CMP:QSNSCYSYFYORTR-UHFFFAOYSA-N,train,0.45000000000000001,1,0,opposite
CMP:BXNANOICGRISHX-UHFFFAOYSA-N,train,CMP:LCCNCVORNKJIRZ-UHFFFAOYSA-N,train,0.40384615384615385,0,0,same
CMP:BYKYTXUAKJDVPV-UHFFFAOYSA-N,train,CMP:ZQPPMHVWECSIRJ-KTKRTIGZSA-N,train,0.4642857142857143,0,0,same
CMP:BYMPKULJRANZCQ-UHFFFAOYSA-N,train,CMP:SERLAGPUMNYUCK-BLEZHGCXSA-N,train,0.24590163934426229,0,0,same
CMP:BZLVMXJERCGZMT-UHFFFAOYSA-N,train,CMP:DKGAVHZHDRPRBM-UHFFFAOYSA-N,train,0.27272727272727271,1,0,opposite
CMP:CAUBWLYZCDDYEF-UHFFFAOYSA-N,train,CMP:RAUQLNDTFONODT-UHFFFAOYSA-N,train,0.59259259259259256,1,1,same
CMP:CBCKQZAAMUWICA-UHFFFAOYSA-N,train,CMP:HFACYLZERDEVSX-UHFFFAOYSA-N,train,0.72727272727272729,0,1,opposite
CMP:CBPKIOGAUWKEFT-UHFFFAOYSA-N,train,CMP:PQYJRMFWJJONBO-UHFFFAOYSA-N,train,0.66666666666666663,1,1,same
CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,train,CMP:QPUKANZXOGADOB-UHFFFAOYSA-N,train,1,1,1,same
CMP:CDCHDCWJMGXXRH-UHFFFAOYSA-N,train,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,train,0.56000000000000005,0,0,same
CMP:CEHDRGBLVBQUPH-UHFFFAOYSA-N,train,CMP:QFOHBWFCKVYLES-UHFFFAOYSA-N,train,0.31707317073170732,1,0,opposite
CMP:CFBYEGUGFPZCNF-UHFFFAOYSA-N,train,CMP:PLAZTCDQAHEYBI-UHFFFAOYSA-N,train,0.5357142857142857,1,1,same
CMP:CFXQEHVMCRXUSD-UHFFFAOYSA-N,train,CMP:YYTSGNJTASLUOY-UHFFFAOYSA-N,train,0.33333333333333331,1,0,opposite
CMP:CGIGDMFJXJATDK-UHFFFAOYSA-N,train,CMP:WHKUVVPPKQRRBV-UHFFFAOYSA-N,train,0.2982456140350877,1,0,opposite
CMP:CHERCCPWQNZOOH-UHFFFAOYSA-N,train,CMP:TVWOWDDBXAFQDG-UHFFFAOYSA-N,train,0.28888888888888886,1,0,opposite
CMP:CHSYXJNUOMUPOG-GRMWVWQJSA-N,train,CMP:UNISKOOZAQCSPC-KWVAZRHASA-N,train,0.54216867469879515,1,1,same
CMP:CHUGKEQJSLOLHL-UHFFFAOYSA-N,train,CMP:LDLCZOVUSADOIV-UHFFFAOYSA-N,train,0.33333333333333331,1,1,same
CMP:CJJOSEISRRTUQB-UHFFFAOYSA-N,train,CMP:MCWXGJITAZMZEV-UHFFFAOYSA-N,train,0.30612244897959184,0,0,same
CMP:CJTZDYDOPZRFTF-UHFFFAOYSA-N,train,CMP:JLRGJRBPOGGCBT-UHFFFAOYSA-N,train,0.33333333333333331,0,0,same
CMP:CKAPSXZOOQJIBF-UHFFFAOYSA-N,train,CMP:BBABSCYTNHOKOG-UHFFFAOYSA-N,train,0.38461538461538464,1,0,opposite
CMP:CKLJMWTZIZZHCS-REOHCLBHSA-N,train,CMP:WHUUTDBJXJRKMK-VKHMYHEASA-N,train,0.54545454545454541,0,0,same
CMP:CKNAQFVBEHDJQV-UHFFFAOYSA-N,train,CMP:IPEHBUMCGVEMRF-UHFFFAOYSA-N,train,0.25641025641025639,0,0,same
CMP:CKOMXBHMKXXTNW-UHFFFAOYSA-N,train,CMP:HTWGDSKVENTDTB-UHFFFAOYSA-N,train,0.45945945945945948,0,1,opposite
CMP:CLJAWWBXVXWHFD-UHFFFAOYSA-N,train,CMP:RZXLPPRPEOUENN-UHFFFAOYSA-N,train,0.29999999999999999,1,0,opposite
CMP:CMSMOCZEIVJLDB-UHFFFAOYSA-N,train,CMP:HAWPXGHAZFHHAD-UHFFFAOYSA-N,train,0.21875,1,1,same
CMP:CNWSQCLBDWYLAN-UHFFFAOYSA-N,train,CMP:OWGLVQAUSIPFBA-UHFFFAOYSA-N,train,0.4375,0,1,opposite
CMP:CPTBDICYNRMXFX-UHFFFAOYSA-N,train,CMP:WOZVHXUHUFLZGK-UHFFFAOYSA-N,train,0.31428571428571428,1,0,opposite
CMP:CPTIBDHUFVHUJK-NZYDNVMFSA-N,train,CMP:UEKQGZQLUMSLNW-UHFFFAOYSA-N,train,0.27272727272727271,0,0,same
CMP:CTKINSOISVBQLD-UHFFFAOYSA-N,train,CMP:ZFIVKAOQEXOYFY-QWWZWVQMSA-N,train,0.3125,1,0,opposite
CMP:CTRXDTYTAAKVSM-UHFFFAOYSA-N,train,CMP:VVJKKKDJADMKNM-UHFFFAOYSA-N,train,0.84507042253521125,0,0,same
CMP:CUARLQDWYSRQDF-UHFFFAOYSA-N,train,CMP:ALRLPDGCPYIVHP-UHFFFAOYSA-N,train,0.52941176470588236,1,1,same
CMP:CVBMAZKKCSYWQR-WCGOZPBSSA-N,train,CMP:JXLYSJRDGCGARV-CFWMRBGOSA-N,train,0.26515151515151514,0,0,same
CMP:CVHZOJJKTDOEJC-UHFFFAOYSA-N,train,CMP:LGRFSURHDFAFJT-UHFFFAOYSA-N,train,0.33333333333333331,0,0,same
CMP:CVTIZMOISGMZRJ-UHFFFAOYSA-N,train,CMP:WNSYEWGYAFFSSQ-UHFFFAOYSA-N,train,0.58823529411764708,1,1,same
CMP:CWPDWGWHFVCTQM-UHFFFAOYSA-N,train,CMP:VHNPZOQVSSWOJZ-UHFFFAOYSA-N,train,0.42424242424242425,1,0,opposite
CMP:CXOFVDLJLONNDW-UHFFFAOYSA-N,train,CMP:OMPJBNCRMGITSC-UHFFFAOYSA-N,train,0.25806451612903225,0,0,same
CMP:CYTYCFOTNPOANT-UHFFFAOYSA-N,train,CMP:LGXVIGDEPROXKC-UHFFFAOYSA-N,train,0.375,1,0,opposite
CMP:CYUUEOAQIWCPBE-JCJNQZIJSA-N,train,CMP:FCKJYANJHNLEEP-XRWYNYHCSA-N,train,0.21649484536082475,1,0,opposite
CMP:CYXIKYKBLDZZNW-UHFFFAOYSA-N,train,CMP:PXBRQCKWGAHEHS-UHFFFAOYSA-N,train,0.36363636363636365,1,0,opposite
CMP:CZIHNRWJTSTCEX-UHFFFAOYSA-N,train,CMP:XPHPBNGAXWJHHP-UHFFFAOYSA-N,train,0.66666666666666663,1,1,same
CMP:CZQLULNMKQAIQL-PFDMWMSASA-N,train,CMP:HPDHKHMHQGCNPE-QLJRNOHWSA-N,train,0.66129032258064513,1,1,same
CMP:CZQNYPBIOHVQQN-UHFFFAOYSA-N,train,CMP:VFLDPWHFBUODDF-UHFFFAOYSA-N,train,0.58695652173913049,0,0,same
CMP:CZWCKYRVOZZJNM-USOAJAOKSA-N,train,CMP:FMGSKLZLMKYGDP-USOAJAOKSA-N,train,0.67924528301886788,0,1,opposite
CMP:DADTZHAWDPZVFJ-UHFFFAOYSA-N,train,CMP:AUZONCFQVSMFAP-UHFFFAOYSA-N,train,0.59090909090909094,0,0,same
CMP:DAHPIMYBWVSMKQ-UHFFFAOYSA-N,train,CMP:JLTDJTHDQAWBAV-UHFFFAOYSA-N,train,0.375,1,0,opposite
CMP:DBEPLOCGEIEOCV-WSBQPABSSA-N,train,CMP:XOFYZVNMUHMLCC-ZPOLXVRWSA-N,train,0.22222222222222221,1,0,opposite
CMP:DECIPOUIJURFOJ-UHFFFAOYSA-N,train,CMP:GGLIEWRLXDLBBF-UHFFFAOYSA-N,train,0.27659574468085107,0,1,opposite
CMP:DEQZTKGFXNUBJL-UHFFFAOYSA-N,train,CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,train,0.51351351351351349,0,0,same
CMP:DFBKLUNHFCTMDC-GKRDHZSOSA-N,train,CMP:DFBKLUNHFCTMDC-PICURKEMSA-N,train,0.78378378378378377,0,0,same
CMP:DFBKLUNHFCTMDC-PICURKEMSA-N,train,CMP:DFBKLUNHFCTMDC-GKRDHZSOSA-N,train,0.78378378378378377,0,0,same
CMP:DFPAKSUCGFBDDF-UHFFFAOYSA-N,train,CMP:PVNIIMVLHYAWGP-UHFFFAOYSA-N,train,0.65384615384615385,0,0,same
CMP:DGLJLGBVHRQILR-UHFFFAOYSA-N,train,CMP:HMUODERFGQSGSR-UHFFFAOYSA-N,train,0.66666666666666663,0,0,same
CMP:DHMQDGOQFOQNFH-UHFFFAOYSA-N,train,CMP:KDYFGRWQOYBRFD-UHFFFAOYSA-N,train,0.46153846153846156,1,0,opposite
CMP:DHOYZNRIPLSCPT-UHFFFAOYSA-N,train,CMP:LMIMSGCBKHFTDY-UHFFFAOYSA-N,train,0.43478260869565216,1,1,same
CMP:DIWVBIXQCNRCFE-UHFFFAOYSA-N,train,CMP:WAPNOHKVXSQRPX-UHFFFAOYSA-N,train,0.40740740740740738,0,0,same
CMP:DKGAVHZHDRPRBM-UHFFFAOYSA-N,train,CMP:UOCLXMDMGBRAIB-UHFFFAOYSA-N,train,0.33333333333333331,0,0,same
CMP:DLRVVLDZNNYCBX-KNHCDGMMSA-N,train,CMP:SERLAGPUMNYUCK-BLEZHGCXSA-N,train,0.39130434782608697,0,0,same
CMP:DNIAPMSPPWPWGF-UHFFFAOYSA-N,train,CMP:YYTSGNJTASLUOY-UHFFFAOYSA-N,train,0.5,0,0,same
CMP:DNPICXVYNIZRFB-UHFFFAOYSA-N,train,CMP:GFOKXZBYAVRDMO-UHFFFAOYSA-N,train,0.7142857142857143,1,1,same
CMP:DOPJTDJKZNWLRB-UHFFFAOYSA-N,train,CMP:VLZVIIYRNMWPSN-UHFFFAOYSA-N,train,0.7407407407407407,0,0,same
CMP:DPYMAXOKJUBANR-UHFFFAOYSA-N,train,CMP:JIWAGFGPBKDFQN-UHFFFAOYSA-N,train,0.52000000000000002,1,1,same
CMP:DSGKTUVITPQPRT-UHFFFAOYSA-N,train,CMP:SSPVLHFEMWOTGD-LURJTMIESA-N,train,0.5,0,1,opposite
CMP:DURULFYMVIFBIR-UHFFFAOYSA-N,train,CMP:GGLIEWRLXDLBBF-UHFFFAOYSA-N,train,0.40000000000000002,0,1,opposite
CMP:DUWYZHLZDVCZIO-UHFFFAOYSA-N,train,CMP:ZQBWQLJJMGJREB-UHFFFAOYSA-N,train,0.76744186046511631,1,1,same
CMP:DVCCCQNKIYNAKB-UHFFFAOYSA-N,train,CMP:ARZWATDYIYAUTA-UHFFFAOYSA-N,train,0.52380952380952384,1,1,same
CMP:DVKJHBMWWAPEIU-UHFFFAOYSA-N,train,CMP:GWHJZXXIDMPWGX-UHFFFAOYSA-N,train,0.26666666666666666,0,1,opposite
CMP:FAUOSXUSCVJWAY-UHFFFAOYSA-N,train,CMP:PEDCQBHIVMGVHV-UHFFFAOYSA-N,train,0.41666666666666669,0,0,same
CMP:FBOZXECLQNJBKD-ZDUSSCGKSA-N,train,CMP:FNYLWPVRPXGIIP-UHFFFAOYSA-N,train,0.24637681159420291,0,0,same
CMP:FBPFZTCFMRRESA-KVTDHHQDSA-N,train,CMP:PEDCQBHIVMGVHV-UHFFFAOYSA-N,train,0.42857142857142855,0,0,same
CMP:FCKJYANJHNLEEP-XRWYNYHCSA-N,train,CMP:SMEROWZSTRWXGI-HVATVPOCSA-N,train,0.21839080459770116,0,0,same
CMP:FCYWOYUDCUKTJC-UHFFFAOYSA-N,train,CMP:YUEXLPFBTMPXCY-UHFFFAOYSA-N,train,0.7142857142857143,1,0,opposite
CMP:FDCJUXDANKKYRM-UHFFFAOYSA-N,train,CMP:JIWAGFGPBKDFQN-UHFFFAOYSA-N,train,0.42857142857142855,1,1,same
CMP:FDKXTQMXEQVLRF-UHFFFAOYSA-N,train,CMP:HTWGDSKVENTDTB-UHFFFAOYSA-N,train,0.2978723404255319,1,1,same
CMP:FFEARJCKVFRZRR-UHFFFAOYSA-N,train,CMP:GGLZPLKKBSSKCX-YFKPBYRVSA-N,train,0.41935483870967744,0,1,opposite
CMP:FGLBSLMDCBOPQK-UHFFFAOYSA-N,train,CMP:SUGZATOHBPXTDV-UHFFFAOYSA-N,train,0.5,0,1,opposite
CMP:FIPWRIJSWJWJAI-UHFFFAOYSA-N,train,CMP:POAOYUHQDCAZBD-UHFFFAOYSA-N,train,0.31578947368421051,0,0,same
CMP:FJLGEFLZQAZZCD-JUFISIKESA-N,train,CMP:JTIGKVIOEQASGT-UHFFFAOYSA-N,train,0.25352112676056338,1,0,opposite
CMP:FJTNLJLPLJDTRM-UHFFFAOYSA-N,train,CMP:UJOBWOGCFQCDNV-UHFFFAOYSA-N,train,0.48148148148148145,1,1,same
CMP:FKZLAQOTFPPENP-UHFFFAOYSA-N,train,CMP:MNIGYIKCFSPQRJ-UHFFFAOYSA-N,train,0.75,1,1,same
CMP:FLTYACUMGDVPLP-MDZDMXLPSA-N,train,CMP:JCYPECIVGRXBMO-FOCLMDBBSA-N,train,0.5161290322580645,0,1,opposite
CMP:FMGSKLZLMKYGDP-USOAJAOKSA-N,train,CMP:CZWCKYRVOZZJNM-USOAJAOKSA-N,train,0.67924528301886788,1,0,opposite
CMP:FMKBEVQUKYPUEJ-UHFFFAOYSA-N,train,CMP:RXXXJEQCRPLSOQ-UHFFFAOYSA-N,train,0.6333333333333333,1,1,same
CMP:FNKQFBWKNIGIOS-UHFFFAOYSA-N,train,CMP:ISWSIDIOOBJBQZ-UHFFFAOYSA-N,train,0.29411764705882354,0,0,same
CMP:FNYLWPVRPXGIIP-UHFFFAOYSA-N,train,CMP:GZVHEAJQGPRDLQ-UHFFFAOYSA-N,train,0.42424242424242425,0,0,same
CMP:FOCAUTSVDIKZOP-UHFFFAOYSA-N,train,CMP:KDYFGRWQOYBRFD-UHFFFAOYSA-N,train,0.46153846153846156,0,0,same
CMP:FOCVUCIESVLUNU-UHFFFAOYSA-N,train,CMP:WNSYEWGYAFFSSQ-UHFFFAOYSA-N,train,0.15789473684210525,1,1,same
CMP:FODTZLFLDFKIQH-MLFZJPEPSA-N,train,CMP:VFLDPWHFBUODDF-UHFFFAOYSA-N,train,0.32926829268292684,0,0,same
CMP:FQDIANVAWVHZIR-OWOJBTEDSA-N,train,CMP:HRYZWHHZPQKTII-UHFFFAOYSA-N,train,0.27272727272727271,1,1,same
CMP:FQYUMYWMJTYZTK-UHFFFAOYSA-N,train,CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,train,0.37931034482758619,1,1,same
CMP:FUCMFBXWLUGVIZ-UHFFFAOYSA-N,train,CMP:SNKTZBNDUVWOAZ-UHFFFAOYSA-N,train,0.9285714285714286,1,1,same
CMP:FUSGACRLAFQQRL-UHFFFAOYSA-N,train,CMP:YGGSSUISOYLCBF-UHFFFAOYSA-N,train,0.66666666666666663,1,1,same
CMP:FXHOOIRPVKKKFG-UHFFFAOYSA-N,train,CMP:YIIMEMSDCNDGTB-UHFFFAOYSA-N,train,0.5,0,1,opposite
CMP:FZNCGRZWXLXZSZ-CIQUZCHMSA-N,train,CMP:SERLAGPUMNYUCK-BLEZHGCXSA-N,train,0.18181818181818182,0,0,same
CMP:GATVIKZLVQHOMN-UHFFFAOYSA-N,train,CMP:HEDRZPFGACZZDS-UHFFFAOYSA-N,train,0.42857142857142855,0,0,same
CMP:GCLQWMIRLMWPHD-UHFFFAOYSA-N,train,CMP:ATFARZXNCCWOKJ-UHFFFAOYSA-N,train,0.26865671641791045,0,1,opposite
CMP:GEQNZVKIDIPGCO-UHFFFAOYSA-N,train,CMP:WXWCDTXEKCVRRO-UHFFFAOYSA-N,train,0.44827586206896552,0,1,opposite
CMP:GFIXPWIVPHYTAJ-UHFFFAOYSA-N,train,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,train,0.53333333333333333,1,0,opposite
CMP:GFOKXZBYAVRDMO-UHFFFAOYSA-N,train,CMP:DNPICXVYNIZRFB-UHFFFAOYSA-N,train,0.7142857142857143,1,1,same
CMP:GGLIEWRLXDLBBF-UHFFFAOYSA-N,train,CMP:WWXBHTZSYYGCSG-UHFFFAOYSA-N,train,0.45714285714285713,1,0,opposite
CMP:GGLZPLKKBSSKCX-YFKPBYRVSA-N,train,CMP:ULXKXLZEOGLCRJ-BYPYZUCNSA-N,train,0.51724137931034486,1,0,opposite
CMP:GHASVSINZRGABV-UHFFFAOYSA-N,train,CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N,train,0.20000000000000001,0,0,same
CMP:GHMLBKRAJCXXBS-UHFFFAOYSA-N,train,CMP:ISWSIDIOOBJBQZ-UHFFFAOYSA-N,train,0.53333333333333333,0,0,same
CMP:GHOSNRCGJFBJIB-UHFFFAOYSA-N,train,CMP:SBNKFTQSBPKMBZ-UHFFFAOYSA-N,train,0.21176470588235294,0,1,opposite
CMP:GHQCIALFYKYZGS-UHFFFAOYSA-N,train,CMP:WZCQRUWWHSTZEM-UHFFFAOYSA-N,train,0.34615384615384615,1,0,opposite
CMP:GHYALFXBRYPUHB-DUXPYHPUSA-N,train,CMP:QLKWZSDBTUTCIJ-PPRDQHCASA-N,train,0.34782608695652173,1,1,same
CMP:GLVAUDGFNGKCSF-UHFFFAOYSA-N,train,CMP:CKOMXBHMKXXTNW-UHFFFAOYSA-N,train,0.41935483870967744,0,0,same
CMP:GMHPROGCQPQRLG-UHFFFAOYSA-N,train,CMP:GYRMPDLIHUXUIG-UHFFFAOYSA-N,train,0.72340425531914898,1,1,same
CMP:GMZOUDFUPHOZBW-UHFFFAOYSA-N,train,CMP:HTWGDSKVENTDTB-UHFFFAOYSA-N,train,0.31914893617021278,1,1,same
CMP:GNOIPBMMFNIUFM-UHFFFAOYSA-N,train,CMP:ZMXDDKWLCZADIW-UHFFFAOYSA-N,train,0.26666666666666666,1,0,opposite
