compound_id,standardized_inchikey,normalized_label,murcko_scaffold,group_key,fold_id
CMP:AQKCJDFMDAPELP-UHFFFAOYSA-N,AQKCJDFMDAPELP-UHFFFAOYSA-N,1,O=C1CNc2ccccc2C(c2ccccc2)=N1,CMP:AQKCJDFMDAPELP-UHFFFAOYSA-N,4
CMP:ARCZSDSOONGBRX-UHFFFAOYSA-N,ARCZSDSOONGBRX-UHFFFAOYSA-N,1,,CMP:ARCZSDSOONGBRX-UHFFFAOYSA-N,1
CMP:ARHWPKZXBHOEEE-UHFFFAOYSA-N,ARHWPKZXBHOEEE-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:ARSRBNBHOADGJU-UHFFFAOYSA-N,ARSRBNBHOADGJU-UHFFFAOYSA-N,1,c1ccc2cc3c(ccc4ccccc43)cc2c1,CMP:ARSRBNBHOADGJU-UHFFFAOYSA-N,3
CMP:ARZWATDYIYAUTA-UHFFFAOYSA-N,ARZWATDYIYAUTA-UHFFFAOYSA-N,1,c1cnc2ccc3[nH]cnc3c2c1,CMP:ARZWATDYIYAUTA-UHFFFAOYSA-N,2
CMP:ASLWPAWFJZFCKF-UHFFFAOYSA-N,ASLWPAWFJZFCKF-UHFFFAOYSA-N,1,,CMP:ASLWPAWFJZFCKF-UHFFFAOYSA-N,4
CMP:ASWVTGNCAZCNNR-UHFFFAOYSA-N,ASWVTGNCAZCNNR-UHFFFAOYSA-N,1,O=S(=O)(Nc1ncccn1)c1ccccc1,CMP:ASWVTGNCAZCNNR-UHFFFAOYSA-N,1
CMP:ATFARZXNCCWOKJ-UHFFFAOYSA-N,ATFARZXNCCWOKJ-UHFFFAOYSA-N,1,c1ccc(N=Nc2ccc(-c3ccc(N=Nc4ccc5ccc(N=Nc6ccccc6)cc5c4)cc3)cc2)cc1,CMP:ATFARZXNCCWOKJ-UHFFFAOYSA-N,3
CMP:AUGNBQPSMWGAJE-UHFFFAOYSA-N,AUGNBQPSMWGAJE-UHFFFAOYSA-N,1,c1ccc(-c2ccccc2)cc1,CMP:AUGNBQPSMWGAJE-UHFFFAOYSA-N,1
CMP:AUZONCFQVSMFAP-UHFFFAOYSA-N,AUZONCFQVSMFAP-UHFFFAOYSA-N,0,,CMP:AUZONCFQVSMFAP-UHFFFAOYSA-N,3
CMP:AVESHLVLHJKUKQ-UHFFFAOYSA-N,AVESHLVLHJKUKQ-UHFFFAOYSA-N,1,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:AVUYXHYHTTVPRX-UHFFFAOYSA-N,AVUYXHYHTTVPRX-UHFFFAOYSA-N,1,O=P(N1CC1)(N1CC1)N1CC1,CMP:AVUYXHYHTTVPRX-UHFFFAOYSA-N,2
CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,AWMVMTVKBNGEAK-UHFFFAOYSA-N,1,c1ccc(C2CO2)cc1,CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,1
CMP:AWYFNIZYMPNGAI-UHFFFAOYSA-N,AWYFNIZYMPNGAI-UHFFFAOYSA-N,0,,CMP:AWYFNIZYMPNGAI-UHFFFAOYSA-N,4
CMP:AYLURHVFAYRSHT-UHFFFAOYSA-N,AYLURHVFAYRSHT-UHFFFAOYSA-N,1,c1cnc2c(c1)nc1ccccn12,CMP:AYLURHVFAYRSHT-UHFFFAOYSA-N,2
CMP:AZQWKYJCGOJGHM-UHFFFAOYSA-N,AZQWKYJCGOJGHM-UHFFFAOYSA-N,1,O=C1C=CC(=O)C=C1,CMP:AZQWKYJCGOJGHM-UHFFFAOYSA-N,4
CMP:BABMCXWQNSQAOC-UHFFFAOYSA-M,BABMCXWQNSQAOC-UHFFFAOYSA-M,0,,CMP:BABMCXWQNSQAOC-UHFFFAOYSA-M,1
CMP:BAOXJBYPTRZNSH-XBXARRHUSA-N,BAOXJBYPTRZNSH-XBXARRHUSA-N,0,c1ccoc1,CMP:BAOXJBYPTRZNSH-XBXARRHUSA-N,4
CMP:BAQAVOSOZGMPRM-QBMZZYIRSA-N,BAQAVOSOZGMPRM-QBMZZYIRSA-N,0,C1CCC(OC2CCCO2)OC1,CMP:BAQAVOSOZGMPRM-QBMZZYIRSA-N,4
CMP:BATOPAZDIZEVQF-UHFFFAOYSA-N,BATOPAZDIZEVQF-UHFFFAOYSA-N,1,,CMP:BATOPAZDIZEVQF-UHFFFAOYSA-N,1
CMP:BBABSCYTNHOKOG-UHFFFAOYSA-N,BBABSCYTNHOKOG-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BBDAGFIXKZCXAH-PJNBIRNISA-N,BBDAGFIXKZCXAH-PJNBIRNISA-N,0,N=c1ccn2c(n1)OC1CCOC12,CMP:BBDAGFIXKZCXAH-PJNBIRNISA-N,2
CMP:BBDKZWKEPDTENS-UHFFFAOYSA-N,BBDKZWKEPDTENS-UHFFFAOYSA-N,1,C1=CCCCC1,CMP:BBDKZWKEPDTENS-UHFFFAOYSA-N,3
CMP:BBFQZRXNYIEMAW-UHFFFAOYSA-N,BBFQZRXNYIEMAW-UHFFFAOYSA-N,1,c1ccc2c(c1)ccc1ccc3c(c12)OCO3,CMP:BBFQZRXNYIEMAW-UHFFFAOYSA-N,3
CMP:BBPLSOGERZQYQC-UHFFFAOYSA-N,BBPLSOGERZQYQC-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BCJMNZRQJAVDLD-CQRYIUNCSA-N,BCJMNZRQJAVDLD-CQRYIUNCSA-N,1,C=C1CCCC(=O)OCC2=CCN3CCC(OC1=O)C23,CMP:BCJMNZRQJAVDLD-CQRYIUNCSA-N,2
CMP:BDERNNFJNOPAEC-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,0,,CMP:BDERNNFJNOPAEC-UHFFFAOYSA-N,3
CMP:BEJNERDRQOWKJM-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N,1,O=c1ccocc1,CMP:BEJNERDRQOWKJM-UHFFFAOYSA-N,4
CMP:BETVNUCOOCCCIO-UHFFFAOYSA-N,BETVNUCOOCCCIO-UHFFFAOYSA-N,0,,CMP:BETVNUCOOCCCIO-UHFFFAOYSA-N,4
CMP:BFKJFAAPBSQJPD-UHFFFAOYSA-N,BFKJFAAPBSQJPD-UHFFFAOYSA-N,1,,CMP:BFKJFAAPBSQJPD-UHFFFAOYSA-N,1
CMP:BFPSDSIWYFKGBC-UHFFFAOYSA-N,BFPSDSIWYFKGBC-UHFFFAOYSA-N,0,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,CMP:BFPSDSIWYFKGBC-UHFFFAOYSA-N,1
CMP:BFPYWIDHMRZLRN-SLHNCBLASA-N,BFPYWIDHMRZLRN-SLHNCBLASA-N,1,c1ccc2c(c1)CCC1C2CCC2CCCC21,CMP:BFPYWIDHMRZLRN-SLHNCBLASA-N,4
CMP:BGNXCDMCOKJUMV-UHFFFAOYSA-N,BGNXCDMCOKJUMV-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BGPPUXMKKQMWLV-UHFFFAOYSA-N,BGPPUXMKKQMWLV-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N,BGRDGMRNKXEXQD-UHFFFAOYSA-N,0,O=c1ccc(=O)[nH][nH]1,CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N,2
CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,BIWJNBZANLAXMG-UHFFFAOYSA-N,1,C1=CC2CC1C1CCCC21,CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,3
CMP:BIXZHMJUSMUDOQ-UHFFFAOYSA-N,BIXZHMJUSMUDOQ-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BJQHLKABXJIVAM-UHFFFAOYSA-N,BJQHLKABXJIVAM-UHFFFAOYSA-N,1,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BJUPUKIYTMVLCW-ONNFQVAWSA-N,BJUPUKIYTMVLCW-ONNFQVAWSA-N,1,O=C1NCCN1N=Cc1ccco1,CMP:BJUPUKIYTMVLCW-ONNFQVAWSA-N,3
CMP:BLQOLXMZXQXGOL-UHFFFAOYSA-N,BLQOLXMZXQXGOL-UHFFFAOYSA-N,1,c1ccc2ccccc2c1,CMP:BLQOLXMZXQXGOL-UHFFFAOYSA-N,3
CMP:BOSMZFBHAYFUBJ-UHFFFAOYSA-N,BOSMZFBHAYFUBJ-UHFFFAOYSA-N,0,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,CMP:BOSMZFBHAYFUBJ-UHFFFAOYSA-N,3
CMP:BOUGCJDAQLKBQH-UHFFFAOYSA-N,BOUGCJDAQLKBQH-UHFFFAOYSA-N,0,,CMP:BOUGCJDAQLKBQH-UHFFFAOYSA-N,4
CMP:BPLBGHOLXOTWMN-MBNYWOFBSA-N,BPLBGHOLXOTWMN-MBNYWOFBSA-N,0,O=C(COc1ccccc1)NC1C(=O)N2CCSC12,CMP:BPLBGHOLXOTWMN-MBNYWOFBSA-N,1
CMP:BQQUFAMSJAKLNB-UHFFFAOYSA-N,BQQUFAMSJAKLNB-UHFFFAOYSA-N,0,C1C2OC2C2C1C1CC2C2OC12,CMP:BQQUFAMSJAKLNB-UHFFFAOYSA-N,2
CMP:BRWIZMBXBAOCCF-UHFFFAOYSA-N,BRWIZMBXBAOCCF-UHFFFAOYSA-N,0,,CMP:BRWIZMBXBAOCCF-UHFFFAOYSA-N,3
CMP:BSYNRYMUTXBXSQ-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BTAGRXWGMYTPBY-UHFFFAOYSA-N,BTAGRXWGMYTPBY-UHFFFAOYSA-N,1,c1ccc(-c2ccccc2)cc1,CMP:AUGNBQPSMWGAJE-UHFFFAOYSA-N,1
CMP:BTLXPCBPYBNQNR-UHFFFAOYSA-N,BTLXPCBPYBNQNR-UHFFFAOYSA-N,1,O=C1c2ccccc2C(=O)c2ccccc21,CMP:BTLXPCBPYBNQNR-UHFFFAOYSA-N,4
CMP:BUMHFBGBXFTGJZ-UHFFFAOYSA-N,BUMHFBGBXFTGJZ-UHFFFAOYSA-N,1,,CMP:BUMHFBGBXFTGJZ-UHFFFAOYSA-N,2
CMP:BUXVIXBGMQXWGT-UHFFFAOYSA-N,BUXVIXBGMQXWGT-UHFFFAOYSA-N,1,c1cnc2c(c1)nc1ccccn12,CMP:AYLURHVFAYRSHT-UHFFFAOYSA-N,2
CMP:BXFOFFBJRFZBQZ-QYWOHJEZSA-N,BXFOFFBJRFZBQZ-QYWOHJEZSA-N,1,C1=CC2OC3CCC(C2CC1)C31CO1,CMP:BXFOFFBJRFZBQZ-QYWOHJEZSA-N,4
CMP:BXIVHTWXKYBJEM-UHFFFAOYSA-N,BXIVHTWXKYBJEM-UHFFFAOYSA-N,1,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BXIXXXYDDJVHDL-UHFFFAOYSA-N,BXIXXXYDDJVHDL-UHFFFAOYSA-N,1,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:BXNANOICGRISHX-UHFFFAOYSA-N,BXNANOICGRISHX-UHFFFAOYSA-N,0,O=c1ccc2ccccc2o1,CMP:BXNANOICGRISHX-UHFFFAOYSA-N,4
CMP:BXYPVKMROLGXJI-JTQLQIEISA-N,BXYPVKMROLGXJI-JTQLQIEISA-N,1,c1cncc(C2CCCCN2)c1,CMP:BXYPVKMROLGXJI-JTQLQIEISA-N,1
CMP:BYKYTXUAKJDVPV-UHFFFAOYSA-N,BYKYTXUAKJDVPV-UHFFFAOYSA-N,0,,CMP:BYKYTXUAKJDVPV-UHFFFAOYSA-N,1
CMP:BYMPKULJRANZCQ-UHFFFAOYSA-N,BYMPKULJRANZCQ-UHFFFAOYSA-N,0,C1CCC(COC2CCCCO2)OC1,CMP:BYMPKULJRANZCQ-UHFFFAOYSA-N,2
CMP:BZHJMEDXRYGGRV-UHFFFAOYSA-N,BZHJMEDXRYGGRV-UHFFFAOYSA-N,1,,CMP:BZHJMEDXRYGGRV-UHFFFAOYSA-N,3
CMP:BZLVMXJERCGZMT-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,1,,CMP:BZLVMXJERCGZMT-UHFFFAOYSA-N,2
CMP:BZXUQIDKDGGYPB-UHFFFAOYSA-N,BZXUQIDKDGGYPB-UHFFFAOYSA-N,0,C1COCCN1,CMP:BZXUQIDKDGGYPB-UHFFFAOYSA-N,1
CMP:CAUBWLYZCDDYEF-UHFFFAOYSA-N,CAUBWLYZCDDYEF-UHFFFAOYSA-N,1,,CMP:CAUBWLYZCDDYEF-UHFFFAOYSA-N,4
CMP:CBCKQZAAMUWICA-UHFFFAOYSA-N,CBCKQZAAMUWICA-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:CBPKIOGAUWKEFT-UHFFFAOYSA-N,CBPKIOGAUWKEFT-UHFFFAOYSA-N,1,,CMP:CBPKIOGAUWKEFT-UHFFFAOYSA-N,1
CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,CCTMZRHJDTTZRF-UHFFFAOYSA-N,1,,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,3
CMP:CDCHDCWJMGXXRH-UHFFFAOYSA-N,CDCHDCWJMGXXRH-UHFFFAOYSA-N,0,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,CMP:CDCHDCWJMGXXRH-UHFFFAOYSA-N,2
CMP:CEHDRGBLVBQUPH-UHFFFAOYSA-N,CEHDRGBLVBQUPH-UHFFFAOYSA-N,1,C=C(Cc1ccccc1)c1ccccc1,CMP:CEHDRGBLVBQUPH-UHFFFAOYSA-N,2
CMP:CFBYEGUGFPZCNF-UHFFFAOYSA-N,CFBYEGUGFPZCNF-UHFFFAOYSA-N,1,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:CFXQEHVMCRXUSD-UHFFFAOYSA-N,CFXQEHVMCRXUSD-UHFFFAOYSA-N,1,,CMP:CFXQEHVMCRXUSD-UHFFFAOYSA-N,4
CMP:CGIGDMFJXJATDK-UHFFFAOYSA-N,CGIGDMFJXJATDK-UHFFFAOYSA-N,1,O=C(c1ccccc1)n1ccc2ccccc21,CMP:CGIGDMFJXJATDK-UHFFFAOYSA-N,1
CMP:CHERCCPWQNZOOH-UHFFFAOYSA-N,CHERCCPWQNZOOH-UHFFFAOYSA-N,1,O=C1CC(=O)c2cc3ccccc3cc2C1=O,CMP:CHERCCPWQNZOOH-UHFFFAOYSA-N,3
CMP:CHSYXJNUOMUPOG-GRMWVWQJSA-N,CHSYXJNUOMUPOG-GRMWVWQJSA-N,1,O=C1C=CC2C(=CCC3C2CCC2C3CC3OC=NC32)C1,CMP:CHSYXJNUOMUPOG-GRMWVWQJSA-N,2
CMP:CHUGKEQJSLOLHL-UHFFFAOYSA-N,CHUGKEQJSLOLHL-UHFFFAOYSA-N,1,,CMP:CHUGKEQJSLOLHL-UHFFFAOYSA-N,4
CMP:CJJOSEISRRTUQB-UHFFFAOYSA-N,CJJOSEISRRTUQB-UHFFFAOYSA-N,0,O=c1[nH]nnc2ccccc12,CMP:CJJOSEISRRTUQB-UHFFFAOYSA-N,3
CMP:CJTZDYDOPZRFTF-UHFFFAOYSA-N,CJTZDYDOPZRFTF-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:CKAPSXZOOQJIBF-UHFFFAOYSA-N,CKAPSXZOOQJIBF-UHFFFAOYSA-N,1,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:CKLJMWTZIZZHCS-REOHCLBHSA-N,CKLJMWTZIZZHCS-REOHCLBHSA-N,0,,CMP:CKLJMWTZIZZHCS-REOHCLBHSA-N,4
CMP:CKNAQFVBEHDJQV-UHFFFAOYSA-N,CKNAQFVBEHDJQV-UHFFFAOYSA-N,0,S=c1cc(-c2cnccn2)ss1,CMP:CKNAQFVBEHDJQV-UHFFFAOYSA-N,1
CMP:CKOMXBHMKXXTNW-UHFFFAOYSA-N,CKOMXBHMKXXTNW-UHFFFAOYSA-N,0,c1ncc2nc[nH]c2n1,CMP:CKOMXBHMKXXTNW-UHFFFAOYSA-N,2
CMP:CLJAWWBXVXWHFD-UHFFFAOYSA-N,CLJAWWBXVXWHFD-UHFFFAOYSA-N,1,c1ccc(-c2ccccc2)cc1,CMP:AUGNBQPSMWGAJE-UHFFFAOYSA-N,1
CMP:CMSMOCZEIVJLDB-UHFFFAOYSA-N,CMSMOCZEIVJLDB-UHFFFAOYSA-N,1,O=[PH]1NCCCO1,CMP:CMSMOCZEIVJLDB-UHFFFAOYSA-N,1
CMP:CNWSQCLBDWYLAN-UHFFFAOYSA-N,CNWSQCLBDWYLAN-UHFFFAOYSA-N,0,,CMP:CNWSQCLBDWYLAN-UHFFFAOYSA-N,2
CMP:CNXCLASNZDZCBC-UHFFFAOYSA-N,CNXCLASNZDZCBC-UHFFFAOYSA-N,0,c1ccncc1,CMP:CNXCLASNZDZCBC-UHFFFAOYSA-N,2
CMP:CPTBDICYNRMXFX-UHFFFAOYSA-N,CPTBDICYNRMXFX-UHFFFAOYSA-N,1,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:CPTIBDHUFVHUJK-NZYDNVMFSA-N,CPTIBDHUFVHUJK-NZYDNVMFSA-N,0,c1ccc(C2CCCc3cc4c(cc32)OCO4)cc1,CMP:CPTIBDHUFVHUJK-NZYDNVMFSA-N,3
CMP:CTKINSOISVBQLD-UHFFFAOYSA-N,CTKINSOISVBQLD-UHFFFAOYSA-N,1,C1CO1,CMP:CTKINSOISVBQLD-UHFFFAOYSA-N,1
CMP:CTRXDTYTAAKVSM-UHFFFAOYSA-N,CTRXDTYTAAKVSM-UHFFFAOYSA-N,0,C1=CC(=C(c2ccccc2)c2ccc(NCc3ccccc3)cc2)C=CC1=[NH+]Cc1ccccc1,CMP:CTRXDTYTAAKVSM-UHFFFAOYSA-N,3
CMP:CUARLQDWYSRQDF-UHFFFAOYSA-N,CUARLQDWYSRQDF-UHFFFAOYSA-N,1,c1cc2c3c(cccc3c1)CC2,CMP:CUARLQDWYSRQDF-UHFFFAOYSA-N,3
CMP:CVBMAZKKCSYWQR-WCGOZPBSSA-N,CVBMAZKKCSYWQR-WCGOZPBSSA-N,0,O=C(OC1CCC2CC3c4[nH]c5ccccc5c4CCN3CC2C1)c1ccccc1,CMP:CVBMAZKKCSYWQR-WCGOZPBSSA-N,4
CMP:CVHZOJJKTDOEJC-UHFFFAOYSA-N,CVHZOJJKTDOEJC-UHFFFAOYSA-N,0,O=C1NS(=O)(=O)c2ccccc21,CMP:CVHZOJJKTDOEJC-UHFFFAOYSA-N,1
CMP:CVNSFWDAXAKBIM-UHFFFAOYSA-N,CVNSFWDAXAKBIM-UHFFFAOYSA-N,1,,CMP:CVNSFWDAXAKBIM-UHFFFAOYSA-N,2
CMP:CVTIZMOISGMZRJ-UHFFFAOYSA-N,CVTIZMOISGMZRJ-UHFFFAOYSA-N,1,C1CNCCN1,CMP:CVTIZMOISGMZRJ-UHFFFAOYSA-N,4
CMP:CVVFFUKULYKOJR-UHFFFAOYSA-N,CVVFFUKULYKOJR-UHFFFAOYSA-N,0,c1ccc(Nc2ccccc2)cc1,CMP:CVVFFUKULYKOJR-UHFFFAOYSA-N,2
CMP:CVXBEEMKQHEXEN-UHFFFAOYSA-N,CVXBEEMKQHEXEN-UHFFFAOYSA-N,0,c1ccc2ccccc2c1,CMP:BLQOLXMZXQXGOL-UHFFFAOYSA-N,3
CMP:CWJSHJJYOPWUGX-UHFFFAOYSA-N,CWJSHJJYOPWUGX-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:CWPDWGWHFVCTQM-UHFFFAOYSA-N,CWPDWGWHFVCTQM-UHFFFAOYSA-N,1,O=C1NCCO1,CMP:CWPDWGWHFVCTQM-UHFFFAOYSA-N,3
CMP:CWULQTRBZMJZEG-UHFFFAOYSA-N,CWULQTRBZMJZEG-UHFFFAOYSA-N,1,,CMP:CWULQTRBZMJZEG-UHFFFAOYSA-N,4
CMP:CXOFVDLJLONNDW-UHFFFAOYSA-N,CXOFVDLJLONNDW-UHFFFAOYSA-N,0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CMP:CXOFVDLJLONNDW-UHFFFAOYSA-N,3
CMP:CYQFCXCEBYINGO-IAGOWNOFSA-N,CYQFCXCEBYINGO-IAGOWNOFSA-N,0,C1=CC2c3ccccc3OCC2CC1,CMP:CYQFCXCEBYINGO-IAGOWNOFSA-N,4
CMP:CYRMSUTZVYGINF-UHFFFAOYSA-N,CYRMSUTZVYGINF-UHFFFAOYSA-N,0,,CMP:CYRMSUTZVYGINF-UHFFFAOYSA-N,1
CMP:CYTYCFOTNPOANT-UHFFFAOYSA-N,CYTYCFOTNPOANT-UHFFFAOYSA-N,1,,CMP:CYTYCFOTNPOANT-UHFFFAOYSA-N,1
CMP:CYUUEOAQIWCPBE-JCJNQZIJSA-N,CYUUEOAQIWCPBE-JCJNQZIJSA-N,1,O=C1CC2=C(CCC3CCCC23)C2CCCCC12,CMP:CYUUEOAQIWCPBE-JCJNQZIJSA-N,3
CMP:CYXIKYKBLDZZNW-UHFFFAOYSA-N,CYXIKYKBLDZZNW-UHFFFAOYSA-N,1,,CMP:CYXIKYKBLDZZNW-UHFFFAOYSA-N,2
CMP:CZIHNRWJTSTCEX-UHFFFAOYSA-N,CZIHNRWJTSTCEX-UHFFFAOYSA-N,1,c1ccc2c(c1)Cc1ccccc1-2,CMP:CZIHNRWJTSTCEX-UHFFFAOYSA-N,2
CMP:CZMRCDWAGMRECN-UGDNZRGBSA-N,CZMRCDWAGMRECN-UGDNZRGBSA-N,0,C1CCC(OC2CCCO2)OC1,CMP:BAQAVOSOZGMPRM-QBMZZYIRSA-N,4
CMP:CZQLULNMKQAIQL-PFDMWMSASA-N,CZQLULNMKQAIQL-PFDMWMSASA-N,1,O=C1CCCC2(CO2)C(=O)OC2CCNCC=C(CO1)C2=O,CMP:CZQLULNMKQAIQL-PFDMWMSASA-N,4
CMP:CZQNYPBIOHVQQN-UHFFFAOYSA-N,CZQNYPBIOHVQQN-UHFFFAOYSA-N,0,O=C(C=Cc1ccccc1)OCCc1ccccc1,CMP:CZQNYPBIOHVQQN-UHFFFAOYSA-N,2
CMP:CZWCKYRVOZZJNM-USOAJAOKSA-N,CZWCKYRVOZZJNM-USOAJAOKSA-N,0,O=C1CCC2C1CCC1C3CCCCC3=CCC21,CMP:CZWCKYRVOZZJNM-USOAJAOKSA-N,1
