compound_id,dataset_role,record_count,record_keys_json,source_labels_json,clear_positive_count,clear_negative_count,nonbinary_count,discordant_nonclear_count,has_discordant_nonclear_evidence,exact_duplicate_class
CMP:AEHPOYAOLCAMIU-UHFFFAOYSA-N,external,1,"[""REC:9fbbaf4eb738f88ee57c2a6c0fd41c7cb589d7d8f6f0979b31637cc288709e8c""]",[],0,0,1,0,false,single_record
CMP:AELCINSCMGFISI-DTWKUNHWSA-N,external,1,"[""REC:392973acf353b53296cca4212b4fbe25a8169bca4661a3da1f6dd4b52a54365c""]",[],0,0,1,0,false,single_record
CMP:AEMFNILZOJDQLW-QAGGRKNESA-N,external,4,"[""REC:6d3542adc6e0a493e9621e5eefed51c841e1188fa84cca46898c23bd8b119089"",""REC:71ad1fe652f818b9d796c832a6cfbb2dd6a92ba56ac0101c7452c87a1b2fdcab"",""REC:9d82b288b88b28a92e02cceae81eaaa43ec9490336cd5f506d503cd2246be7be"",""REC:be5a9a9c9b57ae50281b42e454fd980f9bc55da0e18c3b071ea172949fe02bf2""]","[""Negative. (Authors describe as equivocal evidence based on alveolar/bronchiolar adenoma (0/50, 0/50, 5/50, 2/50); alveolar/bronchiolar adenoma or carcinoma (combined) (0/50, 0/50, 5/50, 3/50))"",""Negative. (Authors describe as equivocal evidence based on incidence of mononuclear cell leukemia: (5/50, 11/50, 18/50, 15/50))"",""Positive. (Authors describe as clear evidence)""]",0,0,4,0,false,multiple_nonbinary_only
CMP:AEMGWIPLOIDRAE-UHFFFAOYSA-N,external,1,"[""REC:96aa45c4329e372cedbf4fe4c8d3626348d7be6bbcd8ba64657bf545c3afad22""]",[],0,0,1,0,false,single_record
CMP:AEMRFAOFKBGASW-UHFFFAOYSA-N,external,2,"[""REC:7dca950c8f33eb039d1c7adf38c213558d187b56091011e6de41b6a174236a43"",""REC:94394a664972f4d985837c89c2566f50c59f3e943295c83b30d23f0cde2d27e4""]","[""Negative. When synthetic solar light (SSL) at 0.3 and 0.6 the minimal erythema dose (MED) was also administered 5 d/wk, 4 hr/d for 40 wk, salicylic acid was photoprotective, reducing the carcinogenicity of 0.3 MED SSL.""]",0,0,2,0,false,multiple_nonbinary_only
CMP:AENLVVDKCOXMBH-UHFFFAOYSA-N,external,1,"[""REC:cbcd38526829f82257521227c66399c6e9b831509d99385f4da5944a126137c6""]",[],0,0,1,0,false,single_record
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,development,13,"[""REC:0124c2f969c9e194dc35ef250a114e3234384e9c5c109e3d236b4b7c5b2f5622"",""REC:04b4c1a82717754527c455556a571e3fbdb5e53efe1fb125ca9c4d8e281a2a53"",""REC:10d2e60c8eb96c5d7653dfda9753277b6cabce1fb918d930b8f13da7951a218e"",""REC:17224127c4598e369ff0c64bee9c27475aefd114dd828c4b4856414f34cc6f79"",""REC:493e4a171b5266c4cfdcfcb6923ec113239cbc09373bdcd1f2a6c6fa33fea9aa"",""REC:74c72911cfd4a80e7fd2281cd2988435b2fc2d6e0c368f8bb582c68d149cdd89"",""REC:9ba4211ef12e104595c7474cce4416bd9225965407a84524f81ed6a68502f70f"",""REC:b709e67a68d827001ed6070ba506458726929e9cbc4f09ca1e50c488462667c5"",""REC:bd8f23056d142d267e5f26fda72e575b85677d19b084c3c81fb377b36bd9e2d3"",""REC:be1a83f51e2788e3f7830d649f1cdaa9bbd4b33d4d4158e0053b95c52d0b7505"",""REC:cf05254822674dd80bb8d35fda21ff2966e99af29ac5699d88b62c56c10ba94d"",""REC:ef859914539c09c0d07bf8a49c785a74ab534254ccd2f3d934d1820aa4437bce"",""REC:fce6730afc414a9f082e5697e05d492b4cd398df374632df3e7bd552c3c6f0c5""]","[""+"",""-"",""0""]",1,6,6,0,false,multiple_clear_conflicting
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,external,5,"[""REC:03bcb3dd49b29947af1b4f05e02532c8b0ac887f1a7c9a282481c027eb825ab4"",""REC:7123270ab1eeaed0800be01886b226e6002782e70425f2111020ce45e5d6e029"",""REC:73aedebe788155681cfc33b46fdcd41504bdeb221e4957429a52504b5d2063f2"",""REC:94663aac6ad0308289e848d9538f1753980d31a7b16719d2e4d90a984f15aff9"",""REC:c55446569a8008689b6879b65f40b38d5df559b01dcb2fdb52918c095da06ccf""]","[""NEGATIVE"",""POSITIVE""]",1,4,0,0,false,multiple_clear_conflicting
CMP:AETKQQBRKSELEL-ZHACJKMWSA-N,external,1,"[""REC:b4db429c16b8a6b74d838a0545a896684c77743984e16388e4fbddf4e3c20b37""]",[],0,0,1,0,false,single_record
CMP:AFBPFSWMIHJQDM-UHFFFAOYSA-N,external,1,"[""REC:68db2b93455f3a198c858c9c0d07ea0d3397c99963157a87d65be17f6d5c5c9f""]",[],0,0,1,0,false,single_record
CMP:AFCAKJKUYFLYFK-UHFFFAOYSA-N,external,1,"[""REC:1ebfde0158e88ed2c5adb5bc3ed8726767c655e3596547a4f56975dfca0a21a9""]",[],0,0,1,0,false,single_record
CMP:AFFLGGQVNFXPEV-UHFFFAOYSA-N,external,1,"[""REC:9dc7168fc6ec0e2a4c53050175e3a9885a08db28e1498d2c6f86e6a56f7a1c06""]",[],0,0,1,0,false,single_record
CMP:AFFXEGNIYQJTQQ-UHFFFAOYSA-N,external,1,"[""REC:9cdfd67e9d9862e2eb907f63d5720da4b037d033eb451b013e850c015606c2be""]",[],0,0,1,0,false,single_record
CMP:AFLXUQUGROGEFA-UHFFFAOYSA-N,development,4,"[""REC:09d43b0cf31ea1a272fd89e83a241079ac0a61fa9305ce949c2e213d3e49e6cc"",""REC:66503618243e21089b20b1288c08a7b6c2a06cc1c42320585521b8866f7935c3"",""REC:682cb943817ed2e8246d963b286166111e904a60194483fe53526be80781c3b6"",""REC:b95efef4d383782264be9755c336443670593c1e90d8fefdd04bd405afc80288""]","[""+"",""0""]",2,0,2,0,false,multiple_clear_with_nonbinary
CMP:AFLXUQUGROGEFA-UHFFFAOYSA-N,external,2,"[""REC:7a66218b2fbe1f182e935d011ed6508227b0a22e6a4ea0e6d8faa490e47346bb"",""REC:cfccdeb44e5d67d6ad3be10fbfa6760b790e0f95e22d30f74b1f9b5dfda470ea""]","[""POSITIVE""]",2,0,0,0,false,multiple_clear_same_label
CMP:AFMIFWUUCHCHNN-UHFFFAOYSA-N,external,1,"[""REC:69ca612109d99501ef26382308ad64ef17a9169fa111749a5cfb5774b451729a""]",[],0,0,1,0,false,single_record
CMP:AFOSIXZFDONLBT-UHFFFAOYSA-N,external,1,"[""REC:fc703dd51b6b59ff989773a09add19e6ada4a214ced0efb063357c5cc2f4185c""]",[],0,0,1,0,false,single_record
CMP:AFPHTEQTJZKQAQ-UHFFFAOYSA-N,external,1,"[""REC:74a4df761f729a963eeea7b12b3d83185cb2f7077d20814e49bec8d73f8f67b5""]",[],0,0,1,0,false,single_record
CMP:AFPNTTFBCMSLLO-UHFFFAOYSA-N,external,1,"[""REC:04ec4bfcf74cb960400a04fb2e9a14f7737d353ec88b0c380bc53a2c10e64115""]",[],0,0,1,0,false,single_record
CMP:AFPRJLBZLPBTPZ-UHFFFAOYSA-N,external,1,"[""REC:ea581150222c79bcb9c4960ceee51a02cceef196ceca2c2ebcfc486c42341011""]",[],0,0,1,0,false,single_record
CMP:AFQAIJFWMTYTFR-UHFFFAOYSA-N,external,1,"[""REC:ae85ff6810681bd5fbfcf495b74c56b917cedf0f5afe44098bba760ce9d4b974""]",[],0,0,1,0,false,single_record
CMP:AFQHMLMYZPOSFP-INIZCTEOSA-N,external,1,"[""REC:bb6a73bc4bf83eb00fc6a5a32ad6e3ba870ff232908d4df974709502cbf17c80""]",[],0,0,1,0,false,single_record
CMP:AFQXINPSVGSODO-UHFFFAOYSA-N,external,1,"[""REC:61f73277659703884604744c3532c88fad16846e91678f84fefa70f63ef899f2""]",[],0,0,1,0,false,single_record
CMP:AFVFQIVMOAPDHO-UHFFFAOYSA-N,external,1,"[""REC:27d6d51c9b7acfd86fb5215b848de186dbb498cb68656886625a19db607855ee""]",[],0,0,1,0,false,single_record
CMP:AFYCEAFSNDLKSX-UHFFFAOYSA-N,external,1,"[""REC:09a588930dccb1fa94bf93862126704deac723821e0dbea3476e87a8531f1a42""]",[],0,0,1,0,false,single_record
CMP:AFYFSKQCEUFIJU-UHFFFAOYSA-N,external,1,"[""REC:2340a40f6385f33322ecee4f0faf3bfb033752a2666cedf82d518a0864fc6767""]",[],0,0,1,0,false,single_record
CMP:AFZFFLVORLEPPO-PFRIVRJKSA-N,external,1,"[""REC:ea61930c1b11c9d76b0902347506539c206d614080797efefd73ab37d48d6073""]",[],0,0,1,0,false,single_record
CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,development,12,"[""REC:00ea2537104509df031b5326fcca51bf04ab5b781fdf0419354491a933e03425"",""REC:033cf65ffd5ffa65c14e92058171a1ac6fbb2915a40bdf3e09a0498bd3b4c2a1"",""REC:07a2a16ce2f06ef25bbedcf49f5b9c4516eda7ede881e2a642272beaa40df592"",""REC:2917285460297fd7f4c798d69147bf23f5067ab57497ac387d3fb0afa3e2b0d7"",""REC:414562a7402b3b6029beaae84f17b5354afc5f503b3e79cb4f39b3d08e08677f"",""REC:4bee8ae737833bce5e05cdc15ff058c3a00fe98d6b8cb731df88a4b71fc8beb5"",""REC:55044e510adae2ce7a19708e6c266b1071f5538267c63e67642eb6bd11e23b68"",""REC:884911f2b53401cf3278893ac6e1351b624f738b4903f512c9cce4e6ab32c19e"",""REC:8bb835a1424cc9ed28dac4cea9f3c5a3b3e047523df9da5a817d1fbd70a6ee40"",""REC:9a2c8b8da67e385be2ee924fb818ec52f27bd1532e1634ebcc4e618df8e773ad"",""REC:aa103fb38c505820fdfba6e5dbaaac3ab17792fbc9be74c593978a767bd26c86"",""REC:d3c41cbb9396ef79c7a43ae71e711a0aa05e98564c5747cf0cacc093d0c0ab13""]","[""-""]",0,12,0,0,false,multiple_clear_same_label
CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,external,1,"[""REC:42c1f9d18b78877042634f0b662dd19b760bb2d69b61a847171a57096d36d8f4""]",[],0,0,1,0,false,single_record
CMP:AFZZWGLJNSCSAH-UHFFFAOYSA-N,external,1,"[""REC:f3cc94a77badb9b1b365665f61fbde25030c8b951c6ef2d63b515f92db03a7fa""]",[],0,0,1,0,false,single_record
CMP:AGEZXYOZHKGVCM-UHFFFAOYSA-N,external,1,"[""REC:711b63174364a8d8e5f6f4207462a1c5f46ec504bd4314e765abe8ae6ae24c28""]",[],0,0,1,0,false,single_record
CMP:AGFAJSXQOTVQCE-UHFFFAOYSA-N,external,1,"[""REC:ee5ab78d1bfa2e1acd7d853d4e8a614e6dc9378f2a1426f69d8b41c7dad38a12""]",[],0,0,1,0,false,single_record
CMP:AGHANLSBXUWXTB-UHFFFAOYSA-N,external,1,"[""REC:438583b9326c1ecf1924a90074c806d39f6a8cd940a788d788a36e5fa43dc7b7""]",[],0,0,1,0,false,single_record
CMP:AGHIQBRPBAHPMV-UHFFFAOYSA-N,external,1,"[""REC:810aa0bd2aea408d1422c8066c3634c2115710d4bd5aee17c3402b13884c64f4""]",[],0,0,1,0,false,single_record
CMP:AGIQIKMGJVLKMA-NLRWUALESA-N,external,1,"[""REC:c4b95016ea45f0cc5923f4f16ffbcbd78660e331abdaacb6947e70080ac5511c""]",[],0,0,1,0,false,single_record
CMP:AGJGKJUQUHGXAD-UHFFFAOYSA-N,external,1,"[""REC:22b0b9c4813991e71272964df34e031f2c223b73b5bda42f6c47af0dc05a4b81""]",[],0,0,1,0,false,single_record
CMP:AGJOAIMUXIQLCN-UHFFFAOYSA-N,external,1,"[""REC:ded7e18fd61020dd589ea1f988cb23d43462ec1ba9e85207f5429e7511c66a65""]",[],0,0,1,0,false,single_record
CMP:AGMLIICQHWMQGU-UHFFFAOYSA-N,external,1,"[""REC:cd84c489a4e4b46ae04a09115aa4f95d69ac755655378b32504e2019a20cc01e""]",[],0,0,1,0,false,single_record
CMP:AGMMTXLNIQSRCG-UHFFFAOYSA-N,external,1,"[""REC:c6b3154d0b2e1a27edffa421ffadbee6d46a679ff9d2d27195f5640fdc50f51c""]",[],0,0,1,0,false,single_record
CMP:AGNGYMCLFWQVGX-AGFFZDDWSA-N,external,1,"[""REC:55ff5c18c6517f01240c22daaa0f7f6ca50700338076d5497c3a717d46d0e975""]","[""POSITIVE""]",1,0,0,0,false,single_record
CMP:AGOYDEPGAOXOCK-KCBOHYOISA-N,external,1,"[""REC:5c4c15d9e3b953b57efc208f73eddfcf6bb163790ef46cd880d2f820c4a43f8b""]",[],0,0,1,0,false,single_record
CMP:AGPKZVBTJJNPAG-WHFBIAKZSA-N,external,1,"[""REC:58b25516ec432a3dec0b58871ca10ebc5bc8d67578aeb03ffb0e4ba5fa9ea632""]",[],0,0,1,0,false,single_record
