compound_id,dataset_role,exclusion_reason
CMP:AOHIGMQGPFTKQX-QZPKXHNASA-N,external,label_uncertain
CMP:AOHJOMMDDJHIJH-UHFFFAOYSA-N,external,label_uncertain
CMP:AOKCDAVWJLOAHG-UHFFFAOYSA-N,external,label_uncertain
CMP:AOSRALZFDNFXFZ-UHFFFAOYSA-N,external,label_uncertain
CMP:AOXRLMQADIVJBW-UHFFFAOYSA-N,external,label_uncertain
CMP:APAJFZPFBHMFQR-UHFFFAOYSA-N,external,label_uncertain
CMP:APGGSERFJKEWFG-UHFFFAOYSA-N,external,label_uncertain
CMP:APIRAYPNDXRJBP-ZWKOTPCHSA-N,external,label_uncertain
CMP:APIXJSLKIYYUKG-UHFFFAOYSA-N,external,label_uncertain
CMP:APJDQUGPCJRQRJ-LBPRGKRZSA-N,external,label_uncertain
CMP:APJYDQYYACXCRM-UHFFFAOYSA-N,external,label_uncertain
CMP:APKFDSVGJQXUKY-INPOYWNPSA-N,external,label_uncertain
CMP:APKPPHZLBGKBAJ-UHFFFAOYSA-N,external,label_uncertain
CMP:APNSGVMLAYLYCT-UHFFFAOYSA-N,external,external_exact_overlap
CMP:APOAEUBPCAZTDV-HWKANZROSA-N,external,label_uncertain
CMP:APPOKADJQUIAHP-GGWOSOGESA-N,external,label_uncertain
CMP:APPWJWJYVRXTDU-UHFFFAOYSA-N,external,label_uncertain
CMP:APQIUTYORBAGEZ-UHFFFAOYSA-N,external,label_uncertain
CMP:APRRQJCCBSJQOQ-UHFFFAOYSA-N,external,label_uncertain
CMP:APSCWOVJURKCBJ-UHFFFAOYSA-N,external,label_uncertain
CMP:APSUAECGGVKVBU-UHFFFAOYSA-N,external,label_uncertain
CMP:APYQRKDHRDGCBK-UHFFFAOYSA-N,external,label_uncertain
CMP:AQBZCCQCDWNNJQ-AUSIDOKSSA-N,external,label_uncertain
CMP:AQGXIFMUJLIPBG-UHFFFAOYSA-N,external,label_uncertain
CMP:AQHHHDLHHXJYJD-UHFFFAOYSA-N,external,external_connectivity_overlap
CMP:AQHHHDLHHXJYJD-UHFFFAOYSA-N,external,label_uncertain
CMP:AQIXAKUUQRKLND-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AQKCJDFMDAPELP-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AQKCJDFMDAPELP-UHFFFAOYSA-N,external,label_conflict
CMP:AQKCJDFMDAPELP-UHFFFAOYSA-N,external,label_conflict_total_count_le_10
CMP:AQXYVFBSOOBBQV-UHFFFAOYSA-N,external,label_uncertain
CMP:ARAFHJWYEUNRII-UHFFFAOYSA-N,external,label_uncertain
CMP:ARCJQKUWGAZPFX-KBPBESRZSA-N,external,label_uncertain
CMP:ARCJQKUWGAZPFX-OKILXGFUSA-N,external,label_uncertain
CMP:ARFLASKVLJTEJD-UHFFFAOYSA-N,external,label_uncertain
CMP:ARFOZXZKCVQFNM-UHFFFAOYSA-N,external,label_uncertain
CMP:ARHCZXQENFEAFA-UHFFFAOYSA-N,external,label_uncertain
CMP:ARIWNCGEMAHEBN-UPHRSURJSA-N,external,label_uncertain
CMP:ARJDXFBUKZADPX-UHFFFAOYSA-N,external,label_uncertain
CMP:ARKIFHPFTHVKDT-UHFFFAOYSA-N,external,label_uncertain
CMP:ARKWRHLBILWJGO-VKAVYKQESA-N,external,label_uncertain
CMP:ARMGSDKVUHYUSW-UHFFFAOYSA-N,external,label_uncertain
CMP:ARNIBUCBGMDXPN-ZPUQHVIOSA-N,external,label_uncertain
CMP:ARSRBNBHOADGJU-QRHMKPRTSA-N,external,external_connectivity_overlap
CMP:ARSRBNBHOADGJU-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ARUJVDNZYGIUGB-UHFFFAOYSA-N,external,label_uncertain
CMP:ARXJGSRGQADJSQ-UHFFFAOYSA-N,development,label_uncertain
CMP:ARZWATDYIYAUTA-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ARZWATDYIYAUTA-UHFFFAOYSA-N,external,label_conflict
CMP:ARZWATDYIYAUTA-UHFFFAOYSA-N,external,label_conflict_count_margin_le_10
CMP:ASAOLTVUTGZJST-UHFFFAOYSA-N,external,label_uncertain
CMP:ASCIWXOCZAWSON-RNJDCESWSA-N,external,label_uncertain
CMP:ASFZQCLAQPBWDN-UHFFFAOYSA-N,external,label_uncertain
CMP:ASGVEEBOYNWWJR-UHFFFAOYSA-N,external,label_uncertain
CMP:ASHKCODNQLPFEF-UHFFFAOYSA-N,external,label_uncertain
CMP:ASJWHRAKNIRHCF-UHFFFAOYSA-N,external,label_uncertain
CMP:ASLWPAWFJZFCKF-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ASMCYZCLGKOSEL-UHFFFAOYSA-N,external,label_uncertain
CMP:ASNTVGRAVDZENF-UHFFFAOYSA-N,external,label_uncertain
CMP:ASOKPJOREAFHNY-UHFFFAOYSA-N,external,label_uncertain
CMP:ASPDJZINBYYZRU-UHFFFAOYSA-N,external,label_uncertain
CMP:ASRZSSHOWIMBPK-UHFFFAOYSA-N,external,label_uncertain
CMP:ASSKVPFEZFQQNQ-UHFFFAOYSA-N,external,label_uncertain
CMP:ASVDRLYVNFOSCI-UHFFFAOYSA-N,external,label_uncertain
CMP:ASWVTGNCAZCNNR-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ATALFKCHFKJEIN-UHFFFAOYSA-N,external,label_uncertain
CMP:ATCRIUVQKHMXSH-UHFFFAOYSA-N,external,label_uncertain
CMP:ATDGTVJJHBUTRL-UHFFFAOYSA-N,development,label_uncertain
CMP:ATDGTVJJHBUTRL-UHFFFAOYSA-N,development,no_modelable_source_record
CMP:ATEYWSRWQMDQJD-UHFFFAOYSA-N,external,label_uncertain
CMP:ATFARZXNCCWOKJ-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ATGUVEKSASEFFO-UHFFFAOYSA-N,external,external_connectivity_overlap
CMP:ATKFMEGWDYLXBP-UHFFFAOYSA-N,external,label_uncertain
CMP:ATMNQRRJNBCQJO-UHFFFAOYSA-N,development,label_uncertain
CMP:ATMNQRRJNBCQJO-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ATMNQRRJNBCQJO-UHFFFAOYSA-N,external,label_uncertain
CMP:ATOYSNPMELKUBW-UHFFFAOYSA-N,external,label_uncertain
CMP:ATTZFSUZZUNHBP-UHFFFAOYSA-N,development,label_conflict
CMP:ATTZFSUZZUNHBP-UHFFFAOYSA-N,development,label_conflict_total_count_le_10
CMP:ATTZFSUZZUNHBP-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ATTZFSUZZUNHBP-UHFFFAOYSA-N,external,label_conflict
CMP:ATTZFSUZZUNHBP-UHFFFAOYSA-N,external,label_conflict_total_count_le_10
CMP:ATXHVCQZZJYMCF-XUDSTZEESA-N,external,label_uncertain
CMP:ATYLRBXENHNROH-UHFFFAOYSA-N,external,label_uncertain
CMP:ATZBPOVXVPIOMR-UHFFFAOYSA-N,external,label_uncertain
CMP:AUBLYQAWASNETD-HJNZIYBASA-N,external,label_uncertain
CMP:AUBLYQAWASNETD-LVYZTWJOSA-N,external,label_uncertain
CMP:AUGNBQPSMWGAJE-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AUGQEEXBDZWUJY-NMAPUUFXSA-N,external,label_uncertain
CMP:AUHHYELHRWCWEZ-UHFFFAOYSA-N,external,label_uncertain
CMP:AUHKVLIZXLBQSR-UHFFFAOYSA-N,external,label_uncertain
CMP:AUHYZQCEIVEMFH-UHFFFAOYSA-N,external,label_uncertain
CMP:AUHZEENZYGFFBQ-UHFFFAOYSA-N,development,label_uncertain
CMP:AUHZEENZYGFFBQ-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AUHZEENZYGFFBQ-UHFFFAOYSA-N,external,label_uncertain
CMP:AUKVSIJCWIMUMD-UHFFFAOYSA-N,external,label_uncertain
CMP:AUNGANRZJHBGPY-SCRDCRAPSA-N,external,label_uncertain
CMP:AUNZGHUJTRYJJH-UHFFFAOYSA-N,external,label_uncertain
CMP:AUTINFVSBXCWKB-UHFFFAOYSA-N,external,label_uncertain
CMP:AUUBZZMLUNQWLV-UHFFFAOYSA-N,external,label_uncertain
CMP:AUVLLXZHPSTCGR-OALUTQOASA-N,external,label_uncertain
CMP:AUVREZVTBBIYLI-HMMYKYKNSA-N,external,label_uncertain
CMP:AUYJMVMBVRSCMW-UHFFFAOYSA-N,external,label_uncertain
CMP:AUZONCFQVSMFAP-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AVCSMMMOCOTIHF-UHFFFAOYSA-N,external,label_uncertain
CMP:AVGNNQMFRRYDBY-UHFFFAOYSA-N,external,label_uncertain
CMP:AVHQSZUZIFHYNU-ONEGZZNKSA-N,external,label_uncertain
CMP:AVKHCKXGKPAGEI-UHFFFAOYSA-N,development,label_conflict
CMP:AVKHCKXGKPAGEI-UHFFFAOYSA-N,development,label_conflict_total_count_le_10
CMP:AVOLMBLBETYQHX-UHFFFAOYSA-N,external,label_uncertain
CMP:AVPYQKSLYISFPO-UHFFFAOYSA-N,external,label_uncertain
CMP:AVTJRMCCKOBMQP-UHFFFAOYSA-N,external,label_uncertain
CMP:AVTORQFIRUDRMD-UHFFFAOYSA-N,external,label_uncertain
CMP:AVUPZCWYUFGWKE-OWOJBTEDSA-N,external,label_uncertain
CMP:AVUPZCWYUFGWKE-UPHRSURJSA-N,external,label_uncertain
CMP:AVUYBPJIKGDENR-REOHCLBHSA-N,external,label_uncertain
CMP:AVUYXHYHTTVPRX-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AVUYXHYHTTVPRX-UHFFFAOYSA-N,external,label_uncertain
CMP:AVXOPMCWKHAVSX-SSZFMOIBSA-N,external,label_uncertain
CMP:AVYGCQXNNJPXSS-UHFFFAOYSA-N,external,label_uncertain
CMP:AWDRATDZQPNJFN-DLYTVZRCSA-N,external,label_uncertain
CMP:AWIRWBJUFQZCLT-UHFFFAOYSA-N,external,label_uncertain
CMP:AWJUIBRHMBBTKR-UHFFFAOYSA-N,external,label_uncertain
CMP:AWKLAGQCWMZXOZ-BYPYZUCNSA-N,external,label_uncertain
CMP:AWKLAGQCWMZXOZ-SCSAIBSYSA-N,external,label_uncertain
CMP:AWMHMGFGCLBSAY-UHFFFAOYSA-N,external,label_uncertain
CMP:AWMVMTVKBNGEAK-MRVPVSSYSA-N,external,external_connectivity_overlap
CMP:AWMVMTVKBNGEAK-MRVPVSSYSA-N,external,label_uncertain
CMP:AWMVMTVKBNGEAK-QMMMGPOBSA-N,external,external_connectivity_overlap
CMP:AWMVMTVKBNGEAK-QMMMGPOBSA-N,external,label_uncertain
CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,external,label_conflict
CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,external,label_conflict_count_margin_le_10
CMP:AWUCVROLDVIAJX-UHFFFAOYSA-N,external,label_uncertain
CMP:AWUDLXWGQXPWFF-UHFFFAOYSA-N,external,label_uncertain
CMP:AWYFNIZYMPNGAI-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AWYZHUPAWKZJSL-UHFFFAOYSA-N,external,label_uncertain
CMP:AXBVSRMHOPMXBA-UHFFFAOYSA-N,external,label_uncertain
CMP:AXCQIIQRZAOFSR-UHFFFAOYSA-N,external,label_uncertain
CMP:AXFVIWBTKYFOCY-UHFFFAOYSA-N,external,label_uncertain
CMP:AXFXZYOIFHVDGB-UHFFFAOYSA-N,external,label_uncertain
CMP:AXISNCBNWIBCID-HNWMMTHTSA-N,external,label_uncertain
CMP:AXKPFOAXAHJUAG-UHFFFAOYSA-N,external,label_uncertain
CMP:AXMCBAWKHOPUEZ-BYPYZUCNSA-N,external,label_uncertain
CMP:AXNUJYHFQHQZBE-UHFFFAOYSA-N,external,label_uncertain
CMP:AXNVHPCVMSNXNP-FPFZDEADSA-N,external,label_uncertain
