comparison_scope,compound_id_a,dataset_role_a,compound_id_b,dataset_role_b,relation_type,similarity,label_a,label_b,label_relation
cross_role,CMP:BGHCVCJVXZWKCC-UHFFFAOYSA-N,external,CMP:VLKZOEOYAKHREP-UHFFFAOYSA-N,development,high_similarity,0.875,,,not_comparable
cross_role,CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,development,CMP:BIWJNBZANLAXMG-YQELWRJZSA-N,external,same_connectivity,,1,,not_comparable
cross_role,CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,development,CMP:BIWJNBZANLAXMG-YQELWRJZSA-N,external,stereo_variant,,1,,not_comparable
cross_role,CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,development,CMP:BIWJNBZANLAXMG-YQELWRJZSA-N,external,tautomer_related,,1,,not_comparable
cross_role,CMP:BJQHLKABXJIVAM-UHFFFAOYSA-N,development,CMP:DJDSLBVSSOQSLW-UHFFFAOYSA-N,external,high_similarity,0.88888888888888884,1,,not_comparable
cross_role,CMP:BKIMMITUMNQMOS-UHFFFAOYSA-N,external,CMP:IMNFDUFMRHMDMM-UHFFFAOYSA-N,development,high_similarity,1,,,not_comparable
cross_role,CMP:BKIMMITUMNQMOS-UHFFFAOYSA-N,external,CMP:VLKZOEOYAKHREP-UHFFFAOYSA-N,development,high_similarity,0.875,,,not_comparable
cross_role,CMP:BMIPMKQAAJKBKP-UHFFFAOYSA-N,development,CMP:BWAPJIHJXDYDPW-UHFFFAOYSA-N,external,high_similarity,0.8571428571428571,,,not_comparable
cross_role,CMP:BMKDZUISNHGIBY-UHFFFAOYSA-N,development,CMP:BMKDZUISNHGIBY-ZETCQYMHSA-N,external,same_connectivity,,,,not_comparable
cross_role,CMP:BMKDZUISNHGIBY-UHFFFAOYSA-N,development,CMP:BMKDZUISNHGIBY-ZETCQYMHSA-N,external,stereo_variant,,,,not_comparable
cross_role,CMP:BMKDZUISNHGIBY-UHFFFAOYSA-N,development,CMP:BMKDZUISNHGIBY-ZETCQYMHSA-N,external,tautomer_related,,,,not_comparable
cross_role,CMP:BOFVBIYTBGDQGY-UHFFFAOYSA-N,external,CMP:TYMLOMAKGOJONV-UHFFFAOYSA-N,development,high_similarity,0.8571428571428571,,0,not_comparable
cross_role,CMP:BRLQWZUYTZBJKN-GSVOUGTGSA-N,external,CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,development,same_connectivity,,,,not_comparable
cross_role,CMP:BRLQWZUYTZBJKN-GSVOUGTGSA-N,external,CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,development,stereo_variant,,,,not_comparable
cross_role,CMP:BRLQWZUYTZBJKN-GSVOUGTGSA-N,external,CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,development,tautomer_related,,,,not_comparable
cross_role,CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,development,CMP:BRLQWZUYTZBJKN-VKHMYHEASA-N,external,same_connectivity,,,,not_comparable
cross_role,CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,development,CMP:BRLQWZUYTZBJKN-VKHMYHEASA-N,external,stereo_variant,,,,not_comparable
cross_role,CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,development,CMP:BRLQWZUYTZBJKN-VKHMYHEASA-N,external,tautomer_related,,,,not_comparable
cross_role,CMP:BSYNRYMUTXBXSQ-UHFFFAOYSA-N,development,CMP:DDSFKIFGAPZBSR-UHFFFAOYSA-N,external,high_similarity,0.8571428571428571,0,,not_comparable
cross_role,CMP:BTLXPCBPYBNQNR-UHFFFAOYSA-N,development,CMP:JPICKYUTICNNNJ-UHFFFAOYSA-N,external,high_similarity,0.86363636363636365,1,,not_comparable
cross_role,CMP:BXYPVKMROLGXJI-JTQLQIEISA-N,development,CMP:XKABJYQDMJTNGQ-VIFPVBQESA-N,external,high_similarity,0.91428571428571426,1,,not_comparable
cross_role,CMP:CANAPGLEBDTCAF-NTIPNFSCSA-N,external,CMP:UEDUENGHJMELGK-HYDKPPNVSA-N,development,high_similarity,0.90789473684210531,,0,not_comparable
cross_role,CMP:CBFCDTFDPHXCNY-UHFFFAOYSA-N,external,CMP:IMNFDUFMRHMDMM-UHFFFAOYSA-N,development,high_similarity,1,,,not_comparable
cross_role,CMP:CBFCDTFDPHXCNY-UHFFFAOYSA-N,external,CMP:VLKZOEOYAKHREP-UHFFFAOYSA-N,development,high_similarity,0.875,,,not_comparable
cross_role,CMP:CCBQOLFAKKAMLD-UHFFFAOYSA-N,external,CMP:GRUOGLPIAPZLHJ-UHFFFAOYSA-N,development,high_similarity,0.88461538461538458,,,not_comparable
cross_role,CMP:CCBQOLFAKKAMLD-UHFFFAOYSA-N,external,CMP:VJNWEQGIPZMBMA-UHFFFAOYSA-N,development,high_similarity,0.96153846153846156,,0,not_comparable
cross_role,CMP:CCSLOEMFOMJAFM-UHFFFAOYSA-N,external,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:CCSLOEMFOMJAFM-UHFFFAOYSA-N,external,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:CCSLOEMFOMJAFM-UHFFFAOYSA-N,external,CMP:QPUKANZXOGADOB-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:CCSLOEMFOMJAFM-UHFFFAOYSA-N,external,CMP:TZBWQIWBMMBFBF-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,development,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,development,CMP:IHGPEUQKUIKKIR-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,development,CMP:KLLCUFCZOSHJRP-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,development,CMP:KSFCDINBDBFFSI-UHFFFAOYSA-N,external,high_similarity,0.94999999999999996,1,,not_comparable
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,development,CMP:QPUKANZXOGADOB-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,development,CMP:REAKWIQVJUHNOX-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,external,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,external,CMP:QPUKANZXOGADOB-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,external,CMP:TZBWQIWBMMBFBF-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:CKAGNBSBBQJLCI-UHFFFAOYSA-N,external,CMP:XFOHWECQTFIEIX-UHFFFAOYSA-N,development,high_similarity,0.8666666666666667,,1,not_comparable
cross_role,CMP:COBPKKZHLDDMTB-UHFFFAOYSA-N,development,CMP:OAYXUHPQHDHDDZ-UHFFFAOYSA-N,external,high_similarity,1,,,not_comparable
cross_role,CMP:COBPKKZHLDDMTB-UHFFFAOYSA-N,development,CMP:POAOYUHQDCAZBD-UHFFFAOYSA-N,external,high_similarity,0.94444444444444442,,,not_comparable
cross_role,CMP:DCAYPVUWAIABOU-UHFFFAOYSA-N,external,CMP:IMNFDUFMRHMDMM-UHFFFAOYSA-N,development,high_similarity,1,,,not_comparable
cross_role,CMP:DCAYPVUWAIABOU-UHFFFAOYSA-N,external,CMP:VLKZOEOYAKHREP-UHFFFAOYSA-N,development,high_similarity,0.875,,,not_comparable
cross_role,CMP:DFBKLUNHFCTMDC-GKRDHZSOSA-N,development,CMP:DFBKLUNHFCTMDC-PICURKEMSA-N,external,same_connectivity,,0,,not_comparable
cross_role,CMP:DFBKLUNHFCTMDC-GKRDHZSOSA-N,development,CMP:DFBKLUNHFCTMDC-PICURKEMSA-N,external,stereo_variant,,0,,not_comparable
cross_role,CMP:DFBKLUNHFCTMDC-GKRDHZSOSA-N,development,CMP:DFBKLUNHFCTMDC-PICURKEMSA-N,external,tautomer_related,,0,,not_comparable
cross_role,CMP:DFBKLUNHFCTMDC-GKRDHZSOSA-N,external,CMP:DFBKLUNHFCTMDC-PICURKEMSA-N,development,same_connectivity,,0,0,same
cross_role,CMP:DFBKLUNHFCTMDC-GKRDHZSOSA-N,external,CMP:DFBKLUNHFCTMDC-PICURKEMSA-N,development,stereo_variant,,0,0,same
cross_role,CMP:DFBKLUNHFCTMDC-GKRDHZSOSA-N,external,CMP:DFBKLUNHFCTMDC-PICURKEMSA-N,development,tautomer_related,,0,0,same
cross_role,CMP:DFMMVLFMMAQXHZ-DOKBYWHISA-N,external,CMP:OENHQHLEOONYIE-JLTXGRSLSA-N,development,high_similarity,0.86842105263157898,,0,not_comparable
cross_role,CMP:DIKPQFXYECAYPC-UHFFFAOYSA-N,development,CMP:LPHYEAYFPYUSAX-UHFFFAOYSA-N,external,high_similarity,0.91666666666666663,1,,not_comparable
cross_role,CMP:DIOQZVSQGTUSAI-UHFFFAOYSA-N,external,CMP:IMNFDUFMRHMDMM-UHFFFAOYSA-N,development,high_similarity,1,,,not_comparable
cross_role,CMP:DIOQZVSQGTUSAI-UHFFFAOYSA-N,external,CMP:VLKZOEOYAKHREP-UHFFFAOYSA-N,development,high_similarity,0.875,,,not_comparable
cross_role,CMP:DMBHHRLKUKUOEG-UHFFFAOYSA-N,development,CMP:UTGQNNCQYDRXCH-UHFFFAOYSA-N,external,high_similarity,0.92307692307692313,,0,not_comparable
cross_role,CMP:DMBHHRLKUKUOEG-UHFFFAOYSA-N,external,CMP:UTGQNNCQYDRXCH-UHFFFAOYSA-N,development,high_similarity,0.92307692307692313,,0,not_comparable
cross_role,CMP:DMLAVOWQYNRWNQ-BUHFOSPRSA-N,external,CMP:DMLAVOWQYNRWNQ-UHFFFAOYSA-N,development,same_connectivity,,,,not_comparable
cross_role,CMP:DMLAVOWQYNRWNQ-BUHFOSPRSA-N,external,CMP:DMLAVOWQYNRWNQ-UHFFFAOYSA-N,development,stereo_variant,,,,not_comparable
cross_role,CMP:DMLAVOWQYNRWNQ-BUHFOSPRSA-N,external,CMP:DMLAVOWQYNRWNQ-UHFFFAOYSA-N,development,tautomer_related,,,,not_comparable
cross_role,CMP:DNPICXVYNIZRFB-UHFFFAOYSA-N,development,CMP:QYWUTOQYPOONLE-UHFFFAOYSA-N,external,high_similarity,0.8571428571428571,1,,not_comparable
cross_role,CMP:DOIRQSBPFJWKBE-UHFFFAOYSA-N,development,CMP:KCXZNSGUUQJJTR-UHFFFAOYSA-N,external,high_similarity,0.8571428571428571,,,not_comparable
cross_role,CMP:DOIRQSBPFJWKBE-UHFFFAOYSA-N,development,CMP:MQIUGAXCHLFZKX-UHFFFAOYSA-N,external,high_similarity,0.8571428571428571,,,not_comparable
cross_role,CMP:DOIRQSBPFJWKBE-UHFFFAOYSA-N,development,CMP:QQVHEQUEHCEAKS-UHFFFAOYSA-N,external,high_similarity,0.8571428571428571,,,not_comparable
cross_role,CMP:DOIRQSBPFJWKBE-UHFFFAOYSA-N,development,CMP:YCZJVRCZIPDYHH-UHFFFAOYSA-N,external,high_similarity,0.8571428571428571,,,not_comparable
cross_role,CMP:DPBLXKKOBLCELK-UHFFFAOYSA-N,external,CMP:WJYIASZWHGOTOU-UHFFFAOYSA-N,development,high_similarity,0.92307692307692313,,0,not_comparable
cross_role,CMP:DXBHBZVCASKNBY-UHFFFAOYSA-N,development,CMP:LHRCREOYAASXPZ-UHFFFAOYSA-N,external,high_similarity,0.88888888888888884,,1,not_comparable
cross_role,CMP:DXBHBZVCASKNBY-UHFFFAOYSA-N,development,CMP:YYGRIGYJXSQDQB-UHFFFAOYSA-N,external,high_similarity,0.90000000000000002,,,not_comparable
cross_role,CMP:DXBHBZVCASKNBY-UHFFFAOYSA-N,external,CMP:LHRCREOYAASXPZ-UHFFFAOYSA-N,development,high_similarity,0.88888888888888884,1,1,same
cross_role,CMP:FBPFZTCFMRRESA-JGWLITMVSA-N,external,CMP:FBPFZTCFMRRESA-KVTDHHQDSA-N,development,same_connectivity,,,0,not_comparable
cross_role,CMP:FBPFZTCFMRRESA-JGWLITMVSA-N,external,CMP:FBPFZTCFMRRESA-KVTDHHQDSA-N,development,stereo_variant,,,0,not_comparable
cross_role,CMP:FBPFZTCFMRRESA-JGWLITMVSA-N,external,CMP:FBPFZTCFMRRESA-KVTDHHQDSA-N,development,tautomer_related,,,0,not_comparable
cross_role,CMP:FFEARJCKVFRZRR-BYPYZUCNSA-N,external,CMP:FFEARJCKVFRZRR-UHFFFAOYSA-N,development,same_connectivity,,,0,not_comparable
cross_role,CMP:FFEARJCKVFRZRR-BYPYZUCNSA-N,external,CMP:FFEARJCKVFRZRR-UHFFFAOYSA-N,development,stereo_variant,,,0,not_comparable
cross_role,CMP:FFEARJCKVFRZRR-BYPYZUCNSA-N,external,CMP:FFEARJCKVFRZRR-UHFFFAOYSA-N,development,tautomer_related,,,0,not_comparable
cross_role,CMP:FHNINJWBTRXEBC-UHFFFAOYSA-N,external,CMP:MRQIXHXHHPWVIL-UHFFFAOYSA-N,development,high_similarity,0.9642857142857143,0,,not_comparable
cross_role,CMP:FJDPATXIBIBRIM-UHFFFAOYSA-N,external,CMP:KAATUXNTWXVJKI-UHFFFAOYSA-N,development,high_similarity,0.85185185185185186,,,not_comparable
cross_role,CMP:FJLUATLTXUNBOT-UHFFFAOYSA-N,external,CMP:WJYIASZWHGOTOU-UHFFFAOYSA-N,development,high_similarity,1,,0,not_comparable
cross_role,CMP:FMMWHPNWAFZXNH-UHFFFAOYSA-N,development,CMP:RXUSYFJGDZFVND-UHFFFAOYSA-N,external,high_similarity,0.86363636363636365,,1,not_comparable
cross_role,CMP:FMMWHPNWAFZXNH-UHFFFAOYSA-N,development,CMP:TUGYIJVAYAHHHM-UHFFFAOYSA-N,external,high_similarity,0.86363636363636365,,1,not_comparable
cross_role,CMP:FQDIANVAWVHZIR-OWOJBTEDSA-N,development,CMP:FQDIANVAWVHZIR-UPHRSURJSA-N,external,same_connectivity,,1,,not_comparable
cross_role,CMP:FQDIANVAWVHZIR-OWOJBTEDSA-N,development,CMP:FQDIANVAWVHZIR-UPHRSURJSA-N,external,stereo_variant,,1,,not_comparable
cross_role,CMP:FQDIANVAWVHZIR-OWOJBTEDSA-N,development,CMP:FQDIANVAWVHZIR-UPHRSURJSA-N,external,tautomer_related,,1,,not_comparable
cross_role,CMP:FQDIANVAWVHZIR-OWOJBTEDSA-N,external,CMP:FQDIANVAWVHZIR-UHFFFAOYSA-N,development,same_connectivity,,1,1,same
cross_role,CMP:FQDIANVAWVHZIR-OWOJBTEDSA-N,external,CMP:FQDIANVAWVHZIR-UHFFFAOYSA-N,development,stereo_variant,,1,1,same
cross_role,CMP:FQDIANVAWVHZIR-OWOJBTEDSA-N,external,CMP:FQDIANVAWVHZIR-UHFFFAOYSA-N,development,tautomer_related,,1,1,same
cross_role,CMP:FQDIANVAWVHZIR-UHFFFAOYSA-N,development,CMP:FQDIANVAWVHZIR-UPHRSURJSA-N,external,same_connectivity,,1,,not_comparable
cross_role,CMP:FQDIANVAWVHZIR-UHFFFAOYSA-N,development,CMP:FQDIANVAWVHZIR-UPHRSURJSA-N,external,stereo_variant,,1,,not_comparable
cross_role,CMP:FQDIANVAWVHZIR-UHFFFAOYSA-N,development,CMP:FQDIANVAWVHZIR-UPHRSURJSA-N,external,tautomer_related,,1,,not_comparable
cross_role,CMP:FUCMFBXWLUGVIZ-UHFFFAOYSA-N,development,CMP:SNKTZBNDUVWOAZ-UHFFFAOYSA-N,external,high_similarity,0.9285714285714286,1,1,same
cross_role,CMP:FVGANPIKNNCIKX-UHFFFAOYSA-N,external,CMP:SRRJCDUOSQWHGS-UHFFFAOYSA-N,development,high_similarity,0.93442622950819676,,,not_comparable
cross_role,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,development,CMP:IHGPEUQKUIKKIR-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,development,CMP:KLLCUFCZOSHJRP-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,development,CMP:KSFCDINBDBFFSI-UHFFFAOYSA-N,external,high_similarity,0.94999999999999996,1,,not_comparable
cross_role,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,development,CMP:QPUKANZXOGADOB-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,development,CMP:REAKWIQVJUHNOX-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,external,CMP:QPUKANZXOGADOB-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:FWIVLSMSIPKDRU-UHFFFAOYSA-N,external,CMP:TZBWQIWBMMBFBF-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:FZNCGRZWXLXZSZ-CIQUZCHMSA-N,development,CMP:FZNCGRZWXLXZSZ-UHFFFAOYSA-N,external,same_connectivity,,0,0,same
cross_role,CMP:FZNCGRZWXLXZSZ-CIQUZCHMSA-N,development,CMP:FZNCGRZWXLXZSZ-UHFFFAOYSA-N,external,stereo_variant,,0,0,same
cross_role,CMP:FZNCGRZWXLXZSZ-CIQUZCHMSA-N,development,CMP:FZNCGRZWXLXZSZ-UHFFFAOYSA-N,external,tautomer_related,,0,0,same
cross_role,CMP:GABQNAFEZZDSCM-RMKNXTFCSA-N,external,CMP:GABQNAFEZZDSCM-UHFFFAOYSA-N,development,same_connectivity,,,,not_comparable
cross_role,CMP:GABQNAFEZZDSCM-RMKNXTFCSA-N,external,CMP:GABQNAFEZZDSCM-UHFFFAOYSA-N,development,stereo_variant,,,,not_comparable
cross_role,CMP:GABQNAFEZZDSCM-RMKNXTFCSA-N,external,CMP:GABQNAFEZZDSCM-UHFFFAOYSA-N,development,tautomer_related,,,,not_comparable
cross_role,CMP:GBROPGWFBFCKAG-UHFFFAOYSA-N,external,CMP:WDECIBYCCFPHNR-UHFFFAOYSA-N,development,high_similarity,1,1,,not_comparable
cross_role,CMP:GBROPGWFBFCKAG-UHFFFAOYSA-N,external,CMP:YNPNZTXNASCQKK-UHFFFAOYSA-N,development,high_similarity,0.8571428571428571,1,,not_comparable
cross_role,CMP:GFMGHHYHOFNBHB-UHFFFAOYSA-N,external,CMP:PKYKNPLSFOKASK-UHFFFAOYSA-N,development,high_similarity,0.88888888888888884,,0,not_comparable
cross_role,CMP:GGLZPLKKBSSKCX-UHFFFAOYSA-N,development,CMP:GGLZPLKKBSSKCX-YFKPBYRVSA-N,external,same_connectivity,,1,,not_comparable
cross_role,CMP:GGLZPLKKBSSKCX-UHFFFAOYSA-N,development,CMP:GGLZPLKKBSSKCX-YFKPBYRVSA-N,external,stereo_variant,,1,,not_comparable
cross_role,CMP:GGLZPLKKBSSKCX-UHFFFAOYSA-N,development,CMP:GGLZPLKKBSSKCX-YFKPBYRVSA-N,external,tautomer_related,,1,,not_comparable
cross_role,CMP:GGLZPLKKBSSKCX-UHFFFAOYSA-N,external,CMP:GGLZPLKKBSSKCX-YFKPBYRVSA-N,development,same_connectivity,,1,1,same
cross_role,CMP:GGLZPLKKBSSKCX-UHFFFAOYSA-N,external,CMP:GGLZPLKKBSSKCX-YFKPBYRVSA-N,development,stereo_variant,,1,1,same
cross_role,CMP:GGLZPLKKBSSKCX-UHFFFAOYSA-N,external,CMP:GGLZPLKKBSSKCX-YFKPBYRVSA-N,development,tautomer_related,,1,1,same
cross_role,CMP:GRUOGLPIAPZLHJ-UHFFFAOYSA-N,development,CMP:VJNWEQGIPZMBMA-UHFFFAOYSA-N,external,high_similarity,0.85185185185185186,,,not_comparable
cross_role,CMP:GRUOGLPIAPZLHJ-UHFFFAOYSA-N,development,CMP:XTHYKVRNGUYFOS-UHFFFAOYSA-N,external,high_similarity,0.85185185185185186,,,not_comparable
cross_role,CMP:GRUOGLPIAPZLHJ-UHFFFAOYSA-N,development,CMP:YBYYJVWCELMDBH-UHFFFAOYSA-N,external,high_similarity,0.85185185185185186,,,not_comparable
cross_role,CMP:GRUOGLPIAPZLHJ-UHFFFAOYSA-N,external,CMP:VJNWEQGIPZMBMA-UHFFFAOYSA-N,development,high_similarity,0.85185185185185186,,0,not_comparable
cross_role,CMP:GUMSHIGGVOJLBP-SLRPQMTOSA-N,development,CMP:QUQPHWDTPGMPEX-QJBIFVCTSA-N,external,high_similarity,0.91549295774647887,0,,not_comparable
cross_role,CMP:GUOSQNAUYHMCRU-UHFFFAOYSA-N,development,CMP:PBLZLIFKVPJDCO-UHFFFAOYSA-N,external,high_similarity,1,,,not_comparable
cross_role,CMP:GUOSQNAUYHMCRU-UHFFFAOYSA-N,development,CMP:SLXKOJJOQWFEFD-UHFFFAOYSA-N,external,high_similarity,1,,,not_comparable
cross_role,CMP:GUOSQNAUYHMCRU-UHFFFAOYSA-N,external,CMP:SLXKOJJOQWFEFD-UHFFFAOYSA-N,development,high_similarity,1,,,not_comparable
cross_role,CMP:GVJHHUAWPYXKBD-IEOSBIPESA-N,external,CMP:GVJHHUAWPYXKBD-UHFFFAOYSA-N,development,same_connectivity,,,0,not_comparable
cross_role,CMP:GVJHHUAWPYXKBD-IEOSBIPESA-N,external,CMP:GVJHHUAWPYXKBD-UHFFFAOYSA-N,development,stereo_variant,,,0,not_comparable
cross_role,CMP:GVJHHUAWPYXKBD-IEOSBIPESA-N,external,CMP:GVJHHUAWPYXKBD-UHFFFAOYSA-N,development,tautomer_related,,,0,not_comparable
cross_role,CMP:HBGGXOJOCNVPFY-UHFFFAOYSA-N,development,CMP:ZVFDTKUVRCTHQE-UHFFFAOYSA-N,external,high_similarity,1,1,,not_comparable
cross_role,CMP:HDEPBBATNLJTLO-UHFFFAOYSA-N,development,CMP:QCWHWSHWDMNXAP-UHFFFAOYSA-N,external,high_similarity,0.86956521739130432,1,,not_comparable
cross_role,CMP:HELXLJCILKEWJH-NCGAPWICSA-N,external,CMP:UEDUENGHJMELGK-HYDKPPNVSA-N,development,high_similarity,0.90540540540540537,,0,not_comparable
cross_role,CMP:HFACYLZERDEVSX-UHFFFAOYSA-N,development,CMP:JZIAOTUERDUSJC-UHFFFAOYSA-N,external,high_similarity,1,1,,not_comparable
cross_role,CMP:HFACYLZERDEVSX-UHFFFAOYSA-N,development,CMP:QBSMHWVGUPQNJJ-UHFFFAOYSA-N,external,high_similarity,1,1,,not_comparable
cross_role,CMP:HLBLWEWZXPIGSM-UHFFFAOYSA-N,development,CMP:JCRRFJIVUPSNTA-UHFFFAOYSA-N,external,high_similarity,1,1,,not_comparable
cross_role,CMP:HOBAELRKJCKHQD-QNEBEIHSSA-N,external,CMP:ZQPPMHVWECSIRJ-KTKRTIGZSA-N,development,high_similarity,0.88461538461538458,,0,not_comparable
cross_role,CMP:HQHACWYQWDKBOZ-UHFFFAOYSA-N,development,CMP:RCFKQVLHWYOSFF-UHFFFAOYSA-N,external,high_similarity,1,1,,not_comparable
cross_role,CMP:HQHACWYQWDKBOZ-UHFFFAOYSA-N,development,CMP:UWSDONTXWQOZFN-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:HQHACWYQWDKBOZ-UHFFFAOYSA-N,development,CMP:UZMVSVHUTOAPTD-UHFFFAOYSA-N,external,high_similarity,1,1,1,same
cross_role,CMP:HQHACWYQWDKBOZ-UHFFFAOYSA-N,development,CMP:WNYADZVDBIBLJJ-UHFFFAOYSA-N,external,high_similarity,0.9285714285714286,1,,not_comparable
cross_role,CMP:IAIWVQXQOWNYOU-FPYGCLRLSA-N,external,CMP:IAIWVQXQOWNYOU-UHFFFAOYSA-N,development,same_connectivity,,,,not_comparable
cross_role,CMP:IAIWVQXQOWNYOU-FPYGCLRLSA-N,external,CMP:IAIWVQXQOWNYOU-UHFFFAOYSA-N,development,stereo_variant,,,,not_comparable
cross_role,CMP:IAIWVQXQOWNYOU-FPYGCLRLSA-N,external,CMP:IAIWVQXQOWNYOU-UHFFFAOYSA-N,development,tautomer_related,,,,not_comparable
cross_role,CMP:IFLREYGFSNHWGE-UHFFFAOYSA-N,external,CMP:MWPLVEDNUUSJAV-UHFFFAOYSA-N,development,high_similarity,0.90909090909090906,,,not_comparable
cross_role,CMP:IHGPEUQKUIKKIR-UHFFFAOYSA-N,external,CMP:QPUKANZXOGADOB-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
cross_role,CMP:IHGPEUQKUIKKIR-UHFFFAOYSA-N,external,CMP:TZBWQIWBMMBFBF-UHFFFAOYSA-N,development,high_similarity,1,1,1,same
